,氣溫(℃)
672,17.2
673,19.0
674,19.8
675,21.2
676,19.9
677,21.7
678,19.3
679,17.2
680,20.7
681,19.1
682,19.7
683,19.0
684,18.6
685,19.0
686,20.6
687,15.9
688,14.5
689,15.6
690,17.0
691,18.3
692,20.0
693,21.7
694,23.1
695,22.8
696,20.7
697,17.1
698,17.8
699,25.2
700,24.6
701,21.6
702,21.8
703,22.9
704,27.0
705,27.5
706,20.9
707,20.8
708,20.5
709,22.5
710,22.0
711,21.9
712,21.9
713,24.8
714,25.2
715,25.8
716,26.7
717,26.9
718,25.4
719,24.0
720,24.6
721,21.8
722,22.9
723,24.6
724,25.7
725,21.9
726,20.3
727,18.8
728,18.8
729,13.5
730,14.4
731,18.0
732,18.2
733,16.8
734,15.0
735,12.0
736,8.2
737,9.3
738,13.1
739,11.4
740,10.3
741,13.0
742,15.4
743,16.5
744,17.5
745,13.6
746,14.3
747,17.1
748,20.7
749,23.7
750,22.5
751,20.4
752,17.6
753,18.9
754,18.8
755,18.2
756,16.1
757,15.0
758,18.0
759,19.2
