,氣溫(℃)
592,26.2
593,23.1
594,24.3
595,25.7
596,25.8
597,26.0
598,25.8
599,24.6
600,23.9
601,24.9
602,25.7
603,25.8
604,25.9
605,25.8
606,23.5
607,29.5
608,27.2
609,27.9
610,29.3
611,29.4
612,28.8
613,29.8
614,28.5
615,28.7
616,28.8
617,27.9
618,28.1
619,28.5
620,29.0
621,29.6
622,29.0
623,28.9
624,28.6
625,28.0
626,27.7
627,28.0
628,28.2
629,28.0
630,28.3
631,28.4
632,29.1
633,29.4
634,29.7
635,29.4
636,29.5
637,29.5
638,29.3
639,29.7
640,28.0
641,29.0
642,28.8
643,26.4
644,26.7
645,27.9
646,28.6
647,28.3
648,28.5
649,29.5
650,29.2
651,29.5
652,29.5
653,29.8
654,30.0
655,30.1
656,30.3
657,30.3
658,30.6
659,30.9
660,30.2
661,29.6
662,29.7
663,30.2
664,29.5
665,28.4
666,29.4
667,29.3
668,27.5
669,28.7
670,29.2
671,29.7
672,29.6
673,28.7
674,29.5
675,29.1
676,28.9
677,28.8
678,28.6
679,29.2
680,30.2
681,28.8
682,28.8
683,28.5
684,27.1
685,29.1
686,30.0
687,30.0
688,30.5
689,31.1
690,30.5
691,30.5
692,30.6
693,30.7
694,29.2
695,28.7
696,29.8
697,30.0
698,28.8
699,28.0
700,28.2
701,28.4
702,27.4
703,29.2
704,29.9
705,29.9
706,30.3
707,30.4
708,30.4
709,30.7
710,30.4
711,29.8
712,28.4
713,29.2
714,29.4
715,29.9
716,30.3
717,30.8
718,30.5
719,30.6
720,30.7
721,30.9
722,31.0
723,30.9
724,30.4
725,31.0
726,30.8
727,29.8
728,29.9
729,23.0
730,18.1
731,20.5
732,24.8
733,25.6
734,26.2
735,26.9
736,26.2
737,26.4
738,27.4
739,27.3
740,27.0
741,27.9
742,24.9
743,22.6
744,18.9
745,21.5
746,24.7
747,26.3
748,26.9
749,26.9
750,27.0
751,27.2
752,27.6
753,27.4
754,26.5
755,26.9
756,28.9
757,29.1
758,29.1
759,29.5
