,氣溫(℃)
222,25.1
223,26.5
224,26.5
225,24.4
226,28.5
227,29.2
228,25.8
229,26.0
230,28.1
231,29.7
232,29.2
233,29.7
234,29.2
235,30.5
236,28.5
237,27.5
238,27.1
239,28.7
240,29.2
241,29.5
242,29.1
243,30.1
244,30.5
245,27.8
246,29.3
247,28.1
248,27.4
249,28.9
250,28.7
251,29.8
252,30.7
253,30.8
254,30.5
255,30.8
256,30.6
257,30.6
258,31.0
259,32.2
260,31.9
261,31.1
262,30.1
263,29.6
264,31.2
265,32.2
266,32.6
267,32.3
268,31.8
269,30.3
270,31.1
271,30.9
272,30.2
273,29.5
274,31.1
275,30.1
276,26.9
277,29.2
278,29.4
279,29.9
280,31.0
281,30.6
282,30.0
283,30.8
284,30.3
285,30.4
286,30.2
287,30.3
288,30.8
289,29.6
290,29.8
291,29.6
292,29.5
293,29.6
294,30.3
295,30.7
296,31.6
297,31.5
298,30.7
299,28.6
300,30.4
301,30.5
302,29.8
303,30.7
304,30.1
305,30.4
306,16.4
307,14.3
308,15.2
309,19.0
310,22.0
311,21.5
312,21.5
313,22.7
314,24.5
315,25.4
316,25.9
317,26.1
318,25.6
319,21.9
320,19.0
321,19.0
322,18.5
323,19.8
324,17.3
325,19.5
326,22.3
327,25.4
328,26.2
329,26.5
330,27.0
331,28.7
332,27.4
333,26.9
334,25.1
335,21.4
336,19.0
337,16.1
338,20.1
339,23.0
340,24.1
341,24.8
342,25.3
343,25.2
344,25.1
345,26.0
346,24.8
347,25.2
348,25.6
349,22.1
350,19.4
351,17.8
352,20.4
353,24.2
354,25.1
355,24.4
356,23.3
357,23.1
358,23.4
359,22.9
360,23.0
361,23.6
362,22.5
363,25.5
364,28.3
365,28.9
366,26.2
367,16.7
368,17.1
369,15.9
370,14.5
371,14.1
372,14.9
373,17.3
374,15.8
375,16.8
376,17.4
377,19.8
378,18.5
379,18.5
380,14.9
381,16.7
382,16.9
383,17.4
384,16.8
385,15.8
386,11.1
387,13.3
388,15.2
389,13.4
390,13.5
391,17.1
392,18.1
393,18.7
394,20.9
395,22.5
396,20.3
397,21.7
398,21.6
399,21.0
400,19.4
401,14.9
402,16.5
403,19.5
404,19.8
405,20.8
406,22.4
407,23.2
408,22.9
409,23.5
410,24.2
411,23.9
412,20.6
413,21.8
414,24.1
415,22.3
416,18.0
417,15.4
418,19.1
419,23.1
420,22.9
421,16.7
422,16.4
423,21.9
424,23.4
425,21.2
426,17.2
427,16.9
428,18.6
429,18.6
430,19.0
431,16.8
432,16.1
433,16.4
434,17.7
435,17.7
436,13.5
437,13.2
438,13.7
439,15.2
440,16.6
441,17.8
442,17.0
443,16.4
444,17.0
445,17.3
446,17.2
447,18.7
448,18.9
449,17.5
450,19.2
451,21.0
452,21.0
453,19.0
454,17.1
455,13.8
456,15.9
457,30.9
458,31.0
459,30.3
460,30.2
461,30.7
462,30.8
463,29.2
464,30.6
465,31.3
466,30.1
467,30.0
468,29.1
469,28.9
470,29.9
471,30.7
472,30.8
473,31.0
474,30.9
475,31.8
476,30.6
477,27.8
478,27.5
479,27.6
480,27.6
481,32.0
482,31.6
483,31.3
484,30.3
485,28.6
486,28.5
487,27.5
488,24.8
489,26.0
490,26.5
491,27.4
492,22.6
493,24.5
494,27.3
495,26.3
496,26.9
497,28.6
498,29.2
499,29.9
500,29.7
501,29.3
502,29.7
503,30.8
504,30.0
505,29.0
506,28.8
507,30.1
508,29.5
509,29.1
510,30.1
511,28.6
512,27.2
513,29.1
514,30.7
515,31.1
516,27.0
517,26.1
518,24.4
519,26.0
520,25.9
521,25.2
522,19.7
523,17.8
524,19.0
525,20.9
526,19.6
527,16.9
528,19.0
529,23.3
530,24.1
531,23.0
532,19.8
533,20.9
534,21.8
535,22.1
536,20.9
537,21.9
538,24.1
539,25.2
540,27.1
541,24.5
542,24.9
543,23.2
544,24.7
545,23.8
546,21.8
547,19.5
548,23.0
549,26.4
550,27.9
551,30.0
552,27.8
553,25.0
554,24.1
555,26.5
556,28.5
557,28.5
558,28.9
559,29.5
560,29.8
561,29.6
562,30.7
563,31.1
564,31.6
565,32.0
566,32.3
567,32.3
568,31.7
569,30.9
570,27.4
571,25.5
572,25.8
573,26.4
574,29.0
575,30.5
576,30.1
577,30.9
578,30.7
579,25.0
580,24.3
581,21.1
582,21.4
583,22.7
584,27.0
585,26.3
586,20.3
587,20.5
588,20.2
589,22.1
590,22.2
591,21.8
592,21.9
593,24.9
594,25.2
595,25.9
596,25.1
597,25.8
598,24.9
599,24.0
600,23.8
601,21.9
602,22.6
603,24.6
604,25.5
605,21.7
606,20.0
607,18.9
608,18.8
609,13.3
610,14.4
611,17.9
612,18.2
613,16.7
614,15.1
615,11.9
616,7.6
617,9.1
618,12.8
619,11.1
620,10.0
621,13.3
622,14.7
623,15.2
624,17.2
625,13.5
626,14.2
627,17.2
628,20.9
629,22.0
630,22.5
631,19.9
632,17.8
633,18.6
634,18.3
635,18.4
636,15.9
637,15.1
638,18.1
639,17.6
640,21.2
641,16.3
642,17.0
643,17.8
644,20.7
645,18.0
646,17.8
647,18.1
648,20.0
649,19.4
650,21.7
651,20.1
652,19.1
653,20.6
654,21.7
655,22.8
656,21.8
657,21.5
658,22.9
659,23.0
660,17.1
661,13.4
662,17.7
663,15.9
664,16.8
665,22.1
666,22.9
667,23.8
668,24.7
669,25.4
670,24.2
671,17.7
672,16.6
673,19.0
674,20.0
675,20.8
676,19.4
677,20.8
678,19.3
679,17.3
680,21.2
681,18.8
682,19.9
683,19.1
684,18.4
685,18.6
686,20.6
687,15.5
688,14.4
689,15.3
690,16.1
691,17.2
692,18.7
693,20.9
694,23.4
695,22.5
696,20.5
697,16.8
698,17.8
699,18.8
700,19.2
701,16.6
702,16.9
703,17.9
704,19.6
705,20.4
706,18.7
707,19.3
708,21.1
709,20.4
710,19.6
711,20.1
712,17.8
713,15.8
714,15.6
715,16.9
716,18.6
717,16.7
718,16.2
719,15.9
720,18.9
721,19.2
722,17.9
723,17.3
724,19.3
725,19.2
726,20.1
727,20.9
728,12.0
729,9.5
730,21.1
731,22.5
732,23.9
733,21.6
734,20.2
735,21.4
736,23.1
737,23.0
738,26.4
739,25.5
740,26.1
741,25.0
742,24.6
743,24.3
744,25.0
745,23.6
746,24.3
747,25.0
748,25.4
749,24.6
750,24.7
751,25.5
752,22.0
753,20.9
754,21.9
755,21.8
756,24.2
757,25.0
758,26.1
759,19.8
