,觀測時間(day),測站氣壓(hPa),最高氣溫(℃),最低氣溫(℃),相對溼度(%)
112,21,1008.4,34.6,26.4,71
113,22,1010.6,34.7,25.7,69
114,23,1012.6,34.8,25.3,67
115,24,1013.1,33.8,27.5,68
116,25,1012.2,32.1,26.9,68
117,26,1010.9,32.8,26.0,70
118,27,1009.1,33.0,27.0,70
119,28,1007.9,32.7,25.5,68
120,29,1006.4,34.1,22.5,68
121,30,1006.9,34.1,23.2,69
122,1,996.7,31.0,25.6,83
123,2,996.9,33.4,26.2,82
124,3,997.4,31.0,25.7,85
125,4,998.7,32.7,25.7,86
126,5,997.8,32.3,25.3,85
127,6,996.6,27.5,24.8,93
128,7,997.1,26.0,24.3,98
129,8,1003.0,35.1,24.4,75
130,9,1005.3,34.0,26.8,80
131,10,1006.4,32.9,26.0,79
132,11,1008.0,34.5,25.4,76
133,12,1007.7,35.8,25.5,72
134,13,1005.5,35.2,25.1,83
135,14,1006.1,34.3,25.0,83
136,15,1009.6,32.6,25.3,80
137,16,1011.0,34.8,26.1,74
138,17,1009.0,34.8,26.2,71
139,18,1007.7,32.7,25.9,76
140,19,1008.1,34.0,24.2,80
141,20,1008.6,33.8,24.1,80
142,21,1007.6,34.8,24.6,82
143,22,1006.2,34.4,25.2,74
144,23,1006.0,34.5,25.9,71
145,24,1007.1,34.7,26.1,81
146,25,1008.8,35.5,25.0,82
147,26,1010.6,34.6,24.3,72
148,27,1010.5,35.0,25.5,69
149,28,1009.7,35.7,26.0,65
150,29,1009.6,35.5,26.3,62
151,30,1010.0,34.9,27.0,63
152,31,1009.5,33.9,27.6,65
153,1,1012.0,35.2,24.4,67
154,2,1011.9,35.5,24.3,67
155,3,1011.6,35.3,24.8,68
156,4,1012.2,35.7,24.0,67
157,5,1014.4,29.9,24.5,78
158,6,1014.5,28.7,24.4,83
159,7,1014.4,26.9,24.2,87
160,8,1015.4,24.9,23.2,86
161,9,1015.6,25.7,21.9,87
162,10,1018.7,22.1,20.0,82
163,11,1017.5,22.3,20.2,68
164,12,1015.5,25.0,21.2,81
165,13,1013.6,24.7,22.0,83
166,14,1010.9,24.9,22.0,91
167,15,1008.2,24.9,23.3,96
168,16,1006.8,26.0,24.5,98
169,17,1011.4,25.2,20.1,91
170,18,1017.2,20.2,18.7,87
171,19,1018.3,22.6,19.4,73
172,20,1017.8,24.6,21.1,71
173,21,1015.2,29.1,22.4,77
174,22,1012.8,31.1,24.2,87
175,23,1015.6,24.2,21.7,90
176,24,1018.1,25.5,21.2,64
177,25,1018.9,24.6,20.8,61
178,26,1015.9,28.9,20.7,62
179,27,1014.5,29.9,21.3,69
180,28,1014.8,27.9,22.5,80
181,29,1014.4,23.9,22.3,86
182,30,1011.1,24.3,22.8,91
183,31,1010.3,23.5,19.7,96
184,1,1005.6,31.3,25.2,80
185,2,1000.3,27.5,25.2,94
186,3,995.1,30.1,26.0,95
187,4,995.4,30.0,25.4,89
188,5,1000.8,35.2,25.6,72
189,6,1009.5,30.2,24.6,79
190,7,1013.3,30.3,25.7,69
191,8,1013.5,32.8,23.8,55
192,9,1012.0,32.0,24.3,62
193,10,1009.9,32.2,22.6,63
194,11,1006.3,26.5,24.7,91
195,12,1002.9,29.8,24.4,91
196,13,1003.0,29.2,24.4,89
197,14,1002.7,31.6,23.6,78
198,15,1003.4,34.1,23.8,78
199,16,1003.8,34.3,23.1,74
200,17,1004.4,33.1,23.0,71
201,18,1004.0,33.7,23.4,66
202,19,1005.7,33.5,23.0,67
203,20,1009.2,30.6,23.2,62
204,21,1010.6,31.7,20.9,67
205,22,1010.1,31.8,22.9,60
206,23,1010.9,31.2,20.1,62
207,24,1011.0,25.2,23.2,84
208,25,1009.6,26.7,24.6,89
209,26,1007.8,34.1,25.7,75
210,27,1007.5,33.8,26.1,62
211,28,1007.3,35.0,26.4,62
212,29,1009.3,35.3,24.6,65
213,30,1011.4,34.5,24.8,66
214,1,1005.3,34.2,24.0,75
215,2,1004.5,35.1,25.9,70
216,3,1005.2,34.9,26.0,72
217,4,1005.2,34.8,25.7,72
218,5,1001.6,36.2,25.6,65
219,6,1001.3,33.5,23.8,79
220,7,1005.7,25.3,20.3,96
221,8,1007.8,23.4,21.6,97
222,9,1007.1,30.2,21.8,88
223,10,1005.0,31.9,23.9,87
224,11,1006.7,32.5,23.4,83
225,12,1007.3,25.8,22.7,95
226,13,1004.0,35.6,23.4,76
227,14,1005.4,35.1,24.8,71
228,15,1008.3,28.7,24.7,93
229,16,1008.5,30.4,23.3,88
230,17,1007.0,32.7,24.4,78
231,18,1006.2,35.4,24.9,69
232,19,1006.0,35.6,25.3,72
233,20,1004.2,35.4,25.2,69
234,21,1005.6,34.0,25.8,70
235,22,1008.7,36.2,25.2,67
236,23,1009.2,36.2,24.7,77
237,24,1007.6,35.3,24.3,80
238,25,1007.5,34.1,24.1,82
239,26,1009.1,35.3,24.2,76
240,27,1007.6,34.7,25.2,73
241,28,1004.6,34.0,25.3,71
242,29,1003.4,33.7,25.3,73
243,30,1003.1,35.1,24.9,64
244,1,1004.3,34.6,26.2,62
245,2,1005.6,30.8,25.3,81
246,3,1004.4,33.6,26.1,75
247,4,1003.8,35.5,24.8,81
248,5,1005.2,35.3,25.0,86
249,6,1006.7,35.4,24.5,76
250,7,1008.1,35.3,26.0,79
251,8,1006.8,35.4,25.1,73
252,9,1004.9,36.2,25.9,71
253,10,1005.3,37.1,27.0,74
254,11,1006.0,37.0,26.3,75
255,12,1006.0,34.6,27.8,71
256,13,1004.7,34.8,27.6,68
257,14,1003.7,35.4,26.6,66
258,15,1003.3,35.9,26.9,62
259,16,1002.6,37.9,27.0,58
260,17,1002.9,37.5,27.0,64
261,18,1003.7,36.0,27.4,68
262,19,1006.9,36.6,27.5,75
263,20,1009.5,36.4,26.0,77
264,21,1010.1,37.7,25.3,67
265,22,1008.5,39.3,26.9,65
266,23,1006.5,38.4,27.9,64
267,24,1005.4,39.4,26.9,61
268,25,1006.9,37.3,28.1,67
269,26,1006.7,35.3,27.5,72
270,27,1006.0,35.9,27.2,67
271,28,1005.2,35.5,27.5,67
272,29,1003.6,35.9,24.8,69
273,30,1001.6,35.3,25.0,75
274,31,1002.2,36.2,26.1,66
275,1,1004.8,36.6,26.9,71
276,2,1007.3,29.6,25.1,87
277,3,1007.4,34.0,24.5,71
278,4,1008.1,35.0,27.2,75
279,5,1008.2,36.3,26.3,72
280,6,1006.8,37.5,26.1,64
281,7,1006.5,36.4,26.3,67
282,8,1006.8,37.5,26.1,68
283,9,1006.1,36.4,25.5,64
284,10,1007.0,35.6,27.6,69
285,11,1007.6,35.3,26.6,69
286,12,1007.4,36.7,27.0,72
287,13,1006.9,36.9,26.3,69
288,14,1006.1,35.3,27.5,68
289,15,1004.9,35.0,26.9,78
290,16,1005.6,34.4,27.5,76
291,17,1005.9,34.9,27.1,78
292,18,1005.1,34.0,26.2,75
293,19,1006.8,34.6,26.9,76
294,20,1008.1,35.4,26.4,71
295,21,1006.0,36.5,25.7,67
296,22,1004.4,38.0,26.1,62
297,23,1004.2,37.2,27.1,63
298,24,1004.3,37.5,26.6,68
299,25,1008.8,36.4,25.0,79
300,26,1008.4,35.9,24.7,68
301,27,1006.9,37.6,26.0,65
302,28,1007.7,33.8,26.5,72
303,29,1008.1,36.0,26.0,69
304,30,1006.6,35.4,26.4,72
305,31,1005.0,36.7,25.9,69
306,1,1022.7,17.8,14.5,76
307,2,1022.4,15.2,13.7,93
308,3,1022.5,17.0,13.1,84
309,4,1021.5,22.0,15.5,69
310,5,1017.6,28.6,16.2,64
311,6,1015.7,28.9,16.2,70
312,7,1015.5,24.0,20.4,70
313,8,1014.0,27.0,20.7,63
314,9,1011.5,30.2,20.3,59
315,10,1010.4,31.6,18.7,63
316,11,1009.0,32.2,21.1,67
317,12,1007.1,32.2,21.5,66
318,13,1005.2,31.1,21.5,69
319,14,1008.1,23.6,20.1,83
320,15,1013.4,20.7,18.0,87
321,16,1014.8,21.7,17.5,67
322,17,1015.8,19.8,15.9,75
323,18,1015.8,21.9,18.3,78
324,19,1017.3,18.8,15.9,82
325,20,1013.9,23.3,16.2,78
326,21,1012.2,27.1,19.0,84
327,22,1011.1,32.6,20.0,75
328,23,1009.1,31.4,22.9,79
329,24,1008.2,32.1,23.0,78
330,25,1007.7,31.8,23.4,77
331,26,1006.4,34.6,23.8,72
332,27,1009.1,31.4,25.5,77
333,28,1010.1,32.3,24.4,77
334,29,1011.0,32.4,20.9,79
335,30,1013.1,22.9,20.1,82
336,1,1014.2,20.8,16.6,86
337,2,1015.3,17.2,15.3,93
338,3,1015.2,21.9,16.7,82
339,4,1012.4,27.0,20.1,79
340,5,1010.2,27.1,22.6,82
341,6,1010.7,29.2,22.1,77
342,7,1012.2,29.8,21.7,72
343,8,1012.0,30.0,22.4,78
344,9,1011.4,28.6,23.9,79
345,10,1008.9,32.1,22.9,77
346,11,1008.3,28.8,23.2,88
347,12,1006.8,32.3,23.2,85
348,13,1004.7,30.2,22.9,84
349,14,1009.5,23.6,21.2,93
350,15,1011.7,21.4,17.8,93
351,16,1012.2,18.8,17.0,95
352,17,1012.9,23.4,17.2,77
353,18,1012.8,28.3,20.8,74
354,19,1009.7,28.0,23.5,80
355,20,1007.0,27.3,22.5,81
356,21,1007.4,25.2,21.6,80
357,22,1007.1,24.7,21.7,85
358,23,1007.6,26.5,22.0,89
359,24,1009.7,24.7,22.2,93
360,25,1007.7,23.9,22.1,98
361,26,1004.4,33.1,21.1,93
362,27,1004.9,23.7,21.2,97
363,28,1005.2,30.1,22.7,90
364,29,1004.7,34.5,23.6,77
365,30,1004.8,33.8,24.5,74
366,31,1006.8,29.5,24.8,92
367,1,1018.3,19.6,15.6,89
368,2,1018.5,21.1,15.8,93
369,3,1016.8,17.1,15.2,97
370,4,1020.3,15.8,13.3,94
371,5,1023.6,15.0,13.3,83
372,6,1023.0,17.0,13.5,80
373,7,1016.3,22.7,14.0,84
374,8,1019.6,17.7,14.0,84
375,9,1017.9,18.3,15.8,90
376,10,1017.6,19.1,16.1,90
377,11,1015.4,25.2,16.0,83
378,12,1015.1,19.4,17.7,89
379,13,1013.3,21.5,15.2,86
380,14,1017.4,16.7,13.8,90
381,15,1016.8,19.6,14.9,76
382,16,1016.2,19.5,15.3,84
383,17,1015.1,19.3,16.3,87
384,18,1015.3,18.2,15.6,93
385,19,1017.1,17.5,12.8,96
386,20,1023.8,13.0,10.4,94
387,21,1022.3,15.4,10.7,95
388,22,1021.6,16.0,14.3,96
389,23,1023.8,14.8,12.6,95
390,24,1025.5,15.4,12.4,85
391,25,1022.2,22.0,13.8,77
392,26,1019.8,23.9,14.3,83
393,27,1019.2,22.4,15.0,72
394,28,1016.8,28.5,16.2,68
395,1,1015.5,28.6,16.5,72
396,2,1016.9,21.8,18.2,78
397,3,1014.9,26.2,18.2,73
398,4,1012.3,27.1,17.5,77
399,5,1013.1,22.5,19.5,74
400,6,1014.9,21.0,17.5,73
401,7,1015.8,18.1,11.6,93
402,8,1016.7,21.6,11.0,64
403,9,1015.4,26.4,11.5,61
404,10,1014.3,25.8,14.7,72
405,11,1012.9,27.7,15.0,69
406,12,1011.3,29.4,15.8,69
407,13,1011.4,30.0,18.2,68
408,14,1010.6,28.0,18.0,69
409,15,1009.6,30.0,18.2,71
410,16,1009.3,30.8,18.4,70
411,17,1007.3,29.7,20.9,76
412,18,1007.8,23.6,18.2,80
413,19,1009.5,28.7,16.4,72
414,20,1011.8,29.1,20.7,72
415,21,1012.2,27.6,20.1,83
416,22,1013.8,21.2,16.7,91
417,23,1014.9,18.2,14.1,93
418,24,1014.1,22.7,14.4,82
419,25,1009.4,29.2,18.5,79
420,26,1009.1,28.2,18.3,88
421,27,1014.5,18.5,15.1,90
422,28,1018.0,17.8,15.0,95
423,29,1015.7,25.9,17.5,80
424,30,1014.8,28.2,20.3,79
425,31,1016.8,24.3,17.7,83
426,1,1023.6,20.6,14.9,80
427,2,1022.5,19.5,14.2,81
428,3,1020.9,21.9,16.5,74
429,4,1019.5,21.4,17.4,81
430,5,1016.8,21.1,17.4,87
431,6,1021.0,18.3,14.7,86
432,7,1022.4,18.7,14.6,81
433,8,1020.0,17.6,15.2,76
434,9,1017.0,20.2,16.6,76
435,10,1015.9,20.9,16.0,81
436,11,1020.6,16.0,12.4,80
437,12,1020.5,14.4,11.8,79
438,13,1021.7,14.7,12.9,79
439,14,1020.8,18.7,12.8,63
440,15,1020.2,21.9,14.1,78
441,16,1020.0,24.0,14.1,81
442,17,1020.5,18.3,15.9,91
443,18,1019.8,17.0,15.7,89
444,19,1018.3,19.2,16.2,84
445,20,1018.8,18.8,16.3,80
446,21,1017.9,18.7,15.7,94
447,22,1013.7,21.5,17.4,93
448,23,1010.8,24.5,17.0,92
449,24,1014.4,18.4,16.9,93
450,25,1016.0,22.8,17.3,80
451,26,1015.6,25.9,18.4,83
452,27,1016.2,26.4,18.9,80
453,28,1016.1,20.2,17.7,85
454,29,1013.2,19.0,16.3,87
455,30,1017.5,16.6,12.1,88
456,31,1020.0,18.5,13.3,68
457,1,1004.8,36.7,26.6,66
458,2,1005.9,36.2,27.7,66
459,3,1006.1,37.0,26.9,71
460,4,1007.6,34.8,26.9,72
461,5,1006.4,34.9,26.0,65
462,6,1005.0,36.0,28.2,68
463,7,1010.3,34.1,26.9,79
464,8,1010.2,35.3,26.2,71
465,9,1009.0,36.8,26.4,64
466,10,1009.8,34.8,27.5,73
467,11,1010.9,35.2,26.4,71
468,12,1009.9,34.7,27.3,80
469,13,1008.3,34.9,24.4,79
470,14,1007.9,35.2,25.1,70
471,15,1007.5,35.8,26.1,61
472,16,1007.2,35.2,27.3,64
473,17,1004.3,35.6,27.5,59
474,18,1003.1,35.2,28.0,59
475,19,1003.0,36.3,28.8,59
476,20,1003.5,34.8,27.3,67
477,21,1001.5,33.4,25.3,83
478,22,995.8,31.0,26.1,93
479,23,992.7,30.5,25.5,92
480,24,992.5,31.0,24.6,85
481,25,993.3,37.8,26.5,63
482,26,994.5,37.3,28.0,63
483,27,994.5,37.9,26.5,65
484,28,996.3,37.1,26.1,75
485,29,999.5,36.4,25.8,84
486,30,1000.6,36.2,25.6,83
487,31,999.6,33.9,25.8,86
488,1,1010.5,31.1,19.6,71
489,2,1013.1,31.5,21.1,69
490,3,1012.2,29.9,23.3,71
491,4,1010.0,32.3,23.3,70
492,5,1013.7,26.7,19.9,82
493,6,1013.8,30.2,20.3,78
494,7,1010.8,32.2,22.3,73
495,8,1008.7,31.1,24.2,79
496,9,1008.1,32.3,22.7,76
497,10,1007.3,32.6,24.5,72
498,11,1006.5,35.0,24.5,71
499,12,1007.0,36.3,24.5,66
500,13,1007.9,33.6,25.7,68
501,14,1008.5,33.2,25.6,73
502,15,1007.9,34.9,25.9,72
503,16,1007.3,36.1,26.7,68
504,17,1008.4,34.4,26.1,69
505,18,1008.8,33.2,27.2,74
506,19,1007.4,34.4,26.0,75
507,20,1007.1,35.3,25.6,65
508,21,1006.9,35.7,25.6,71
509,22,1006.4,34.4,25.9,75
510,23,1007.2,34.8,26.5,70
511,24,1008.9,35.7,24.6,75
512,25,1009.8,33.2,24.3,76
513,26,1007.5,33.4,24.5,71
514,27,1006.6,37.2,25.6,65
515,28,1006.4,38.3,27.1,67
516,29,1005.4,28.9,25.0,82
517,30,1003.5,29.4,24.9,91
518,31,1005.1,26.2,23.3,95
519,1,1006.3,30.5,23.3,80
520,2,1008.6,31.3,22.1,78
521,3,1010.4,30.6,22.6,77
522,4,1015.4,23.2,17.4,77
523,5,1018.7,21.3,16.3,58
524,6,1017.8,23.0,16.1,66
525,7,1015.6,25.0,16.9,64
526,8,1014.1,22.8,16.3,82
527,9,1017.9,17.8,16.2,84
528,10,1018.8,21.0,16.9,83
529,11,1016.5,30.7,17.9,77
530,12,1014.3,30.4,19.7,74
531,13,1013.5,29.8,19.9,79
532,14,1014.5,21.5,17.6,81
533,15,1012.7,23.7,19.2,81
534,16,1013.0,26.4,19.2,77
535,17,1016.1,26.4,19.4,71
536,18,1016.3,23.1,19.6,60
537,19,1012.9,26.0,19.5,62
538,20,1011.6,29.1,21.3,57
539,21,1010.1,29.7,22.3,64
540,22,1005.9,31.0,23.7,71
541,23,1007.0,27.9,22.7,78
542,24,1009.6,29.4,22.7,70
543,25,1011.9,25.0,21.7,73
544,26,1012.6,28.6,21.6,58
545,27,1013.9,29.8,21.1,72
546,28,1014.0,23.2,20.7,92
547,29,1012.0,21.6,16.6,92
548,30,1010.3,31.3,15.3,73
549,1,1006.2,32.2,23.1,86
550,2,1006.6,34.7,24.1,82
551,3,1004.7,35.9,25.3,73
552,4,1003.0,33.8,24.7,84
553,5,1002.6,26.9,22.2,94
554,6,1005.2,25.4,22.4,92
555,7,1008.5,31.8,23.4,84
556,8,1008.8,35.0,23.8,75
557,9,1007.4,33.2,24.7,74
558,10,1005.8,34.6,24.3,71
559,11,1006.5,35.1,24.1,69
560,12,1008.8,35.6,25.4,69
561,13,1008.2,34.5,25.3,73
562,14,1004.2,35.4,26.4,66
563,15,1001.9,34.9,27.0,65
564,16,1003.1,35.8,27.7,60
565,17,1004.4,36.5,27.4,59
566,18,1003.0,36.8,28.2,59
567,19,1001.0,36.7,27.8,58
568,20,1000.0,36.4,27.5,62
569,21,1000.8,34.4,28.2,65
570,22,1003.4,31.3,24.7,85
571,23,1006.2,29.1,23.4,88
572,24,1006.1,28.8,24.0,88
573,25,1005.8,29.4,24.7,87
574,26,1005.5,34.5,24.6,74
575,27,1003.8,36.3,25.5,65
576,28,1002.2,34.6,26.4,65
577,29,1002.9,35.9,27.3,62
578,30,1004.2,34.8,26.8,65
579,1,1013.7,30.0,22.1,70
580,2,1014.2,27.6,22.6,70
581,3,1017.9,25.1,18.9,75
582,4,1018.5,24.6,18.8,65
583,5,1016.7,25.5,20.7,73
584,6,1011.2,30.1,22.8,77
585,7,1013.0,31.8,21.2,78
586,8,1019.3,21.4,19.5,87
587,9,1019.8,21.1,19.7,72
588,10,1020.9,21.3,18.8,76
589,11,1021.8,24.3,20.7,64
590,12,1019.2,24.3,21.2,79
591,13,1018.0,22.6,21.2,92
592,14,1018.9,22.8,20.7,81
593,15,1017.6,29.0,21.7,69
594,16,1015.9,28.8,22.7,70
595,17,1013.8,29.7,23.7,68
596,18,1011.7,31.9,20.7,75
597,19,1010.8,32.0,21.3,74
598,20,1012.8,29.0,22.6,79
599,21,1014.6,26.9,22.6,88
600,22,1017.0,29.6,20.9,82
601,23,1020.1,23.8,21.1,82
602,24,1019.3,24.9,21.6,76
603,25,1017.3,28.5,22.1,71
604,26,1017.6,29.6,23.3,65
605,27,1020.7,24.1,19.4,78
606,28,1021.6,22.1,18.6,83
607,29,1022.0,20.5,18.0,84
608,30,1023.0,20.3,18.2,84
609,1,1024.0,16.1,10.7,66
610,2,1022.6,15.8,12.8,77
611,3,1021.2,23.1,14.7,75
612,4,1019.4,22.3,16.0,89
613,5,1019.7,18.1,14.9,90
614,6,1019.2,16.6,14.2,88
615,7,1022.2,14.2,9.4,92
616,8,1025.7,9.4,6.8,89
617,9,1025.4,10.3,8.0,65
618,10,1023.1,15.8,8.8,65
619,11,1023.2,12.7,8.8,93
620,12,1022.2,14.2,8.5,77
621,13,1018.5,21.0,6.8,67
622,14,1016.3,22.6,7.7,70
623,15,1014.9,24.4,9.7,75
624,16,1017.8,23.0,11.9,74
625,17,1025.0,14.6,12.5,77
626,18,1022.4,15.9,12.4,66
627,19,1019.8,21.1,13.9,63
628,20,1016.7,24.9,17.4,68
629,21,1013.8,30.3,16.9,72
630,22,1010.2,26.2,20.3,80
631,23,1012.6,22.5,18.8,85
632,24,1017.6,20.3,16.7,72
633,25,1017.2,23.1,15.2,73
634,26,1016.0,23.7,13.1,78
635,27,1016.9,20.2,17.3,77
636,28,1020.9,18.3,13.9,78
637,29,1023.8,17.6,14.2,57
638,30,1021.6,23.2,14.6,61
639,31,1020.5,25.4,12.0,70
640,1,1014.6,28.2,16.0,77
641,2,1020.6,21.4,14.4,85
642,3,1019.5,18.1,14.8,82
643,4,1018.0,21.7,16.1,89
644,5,1015.8,24.6,17.3,81
645,6,1016.8,20.7,15.1,95
646,7,1019.0,19.7,16.7,90
647,8,1019.7,19.3,17.1,86
648,9,1019.4,24.5,17.8,81
649,10,1020.6,21.8,17.9,78
650,11,1018.1,27.7,18.6,75
651,12,1018.7,24.3,17.9,79
652,13,1018.6,22.4,17.7,64
653,14,1015.8,24.3,18.4,65
654,15,1013.3,29.1,16.1,71
655,16,1012.7,30.0,17.2,70
656,17,1013.0,25.7,18.5,79
657,18,1012.6,25.6,19.0,82
658,19,1011.2,27.5,19.0,77
659,20,1010.2,28.3,20.1,76
660,21,1018.1,21.2,14.5,76
661,22,1024.2,15.8,11.8,86
662,23,1019.3,19.6,14.9,67
663,24,1016.3,17.1,13.1,92
664,25,1017.6,22.1,11.4,81
665,26,1013.9,27.9,17.8,74
666,27,1010.3,29.6,17.3,74
667,28,1007.5,29.8,19.0,79
668,29,1006.6,30.1,21.5,77
669,30,1005.4,30.6,22.2,78
670,31,1006.4,29.1,21.0,84
671,1,1018.0,25.9,12.8,71
672,2,1021.3,20.1,12.7,77
673,3,1021.4,24.1,16.0,59
674,4,1020.6,24.7,16.3,64
675,5,1017.7,27.9,16.4,67
676,6,1016.6,26.2,14.3,75
677,7,1016.6,28.5,14.5,72
678,8,1019.9,21.1,16.9,77
679,9,1020.1,18.3,16.0,76
680,10,1012.3,26.6,18.1,74
681,11,1009.5,21.5,17.0,92
682,12,1013.1,24.5,17.6,84
683,13,1015.2,22.0,17.7,87
684,14,1013.1,23.4,15.4,83
685,15,1014.7,24.7,13.1,72
686,16,1014.7,26.7,17.6,65
687,17,1021.4,17.9,13.4,77
688,18,1026.5,18.5,12.0,55
689,19,1022.6,21.5,11.4,59
690,20,1019.0,24.7,9.7,73
691,21,1016.8,25.8,10.9,71
692,22,1015.3,28.1,12.1,68
693,23,1014.6,28.0,14.3,70
694,24,1011.9,29.0,20.1,64
695,25,1009.1,29.5,18.7,70
696,26,1009.4,25.7,18.3,78
697,27,1014.5,18.2,15.8,90
698,28,1015.6,20.8,16.1,81
699,1,1021.3,19.9,18.0,92
700,2,1020.1,21.4,18.0,83
701,3,1021.6,18.3,15.6,90
702,4,1020.7,18.1,15.7,90
703,5,1020.8,19.4,16.3,86
704,6,1019.2,21.4,18.1,88
705,7,1019.4,22.2,19.6,89
706,8,1019.6,20.3,17.7,90
707,9,1016.6,20.9,17.3,95
708,10,1015.4,23.3,19.9,89
709,11,1014.6,21.7,19.8,92
710,12,1014.9,22.3,18.3,83
711,13,1014.5,24.5,17.3,78
712,14,1019.2,20.3,15.7,86
713,15,1022.3,16.6,15.1,93
714,16,1023.0,16.5,15.0,93
715,17,1020.7,19.6,14.7,85
716,18,1019.4,21.6,15.4,89
717,19,1023.6,18.7,15.4,89
718,20,1023.8,17.7,15.6,86
719,21,1022.2,17.1,14.7,89
720,22,1018.6,22.2,16.3,84
721,23,1014.9,21.0,18.3,93
722,24,1015.5,19.2,17.0,91
723,25,1018.8,18.1,16.3,81
724,26,1017.1,24.6,16.1,81
725,27,1015.5,23.1,16.5,85
726,28,1014.4,22.0,17.6,78
727,29,1012.7,25.8,18.5,81
728,30,1025.0,19.8,10.1,77
729,31,1028.1,10.9,7.5,64
730,1,1012.6,23.3,19.6,93
731,2,1012.3,25.3,20.3,87
