芠代丁(day),代溃(hPa),キ溃(hPa),代程蔼溃(hPa),代程蔼溃丁(LST),代程溃(hPa),代程溃丁(LST),放(),程蔼放(),程蔼放丁(LST),程放(),程放丁(LST),臩翴放(),癸访(%),程癸访(%),程癸访丁(LST),硉(m/s),(360degree),程皚(m/s),程皚(360degree),程皚硉丁(LST),秖(mm),计(hour),程だ牧秖(mm),程だ牧秖癬﹍丁(LST),程せだ牧秖(mm),程せだ牧秖癬﹍丁(LST),ら酚计(hour),ら酚瞯(%),ぱら甮秖(MJ/),ǎ(km),A籡祇秖(mm),ら程蔼档絬计,ら程蔼档絬计丁(LST),羆冻秖(0~10)
20,1012.3,...,1016.1,2022/4/20 22:21,1013.2,2022/4/20 16:11,24.2,27.6,2022/4/20 11:31,21.3,2022/4/20 23:37,...,73,59,2022/4/20 10:52,1.7,7,6.5,14,2022/4/20 15:10,1,...,...,...,...,...,...,...,...,...,...,...,...,...
21,1011.1,...,1012.5,2022/4/21 00:01,1009.5,2022/4/21 16:21,26,30.6,2022/4/21 10:51,21.1,2022/4/21 05:25,...,68,46,2022/4/21 13:52,1.2,5,6.2,209,2022/4/21 13:38,0,...,...,...,...,...,...,...,...,...,...,...,...,...
22,1010.4,...,1012.3,2022/4/22 08:31,1008.2,2022/4/22 15:45,28.2,32.1,2022/4/22 11:51,24,2022/4/22 04:01,...,73,48,2022/4/22 11:51,1.5,216,6.1,244,2022/4/22 13:29,0,...,...,...,...,...,...,...,...,...,...,...,...,...
23,1009.2,...,1011.5,2022/4/23 08:31,1007.1,2022/4/23 14:42,27.5,31,2022/4/23 10:54,24.5,2022/4/23 03:18,...,86,64,2022/4/23 11:00,1.2,216,8.9,192,2022/4/23 14:09,4,...,...,...,...,...,...,...,...,...,...,...,...,...
24,1008.1,...,1009.6,2022/4/24 09:31,1005.8,2022/4/24 16:02,28,31.5,2022/4/24 10:53,24.7,2022/4/24 06:01,...,78,61,2022/4/24 09:45,1.3,98,6.6,247,2022/4/24 11:52,0,...,...,...,...,...,...,...,...,...,...,...,...,...
25,1007.4,...,1009.2,2022/4/25 08:10,1005,2022/4/25 16:12,29.7,34,2022/4/25 12:02,26.2,2022/4/25 05:26,...,67,39,2022/4/25 11:51,2.1,201,10.6,190,2022/4/25 12:13,0,...,...,...,...,...,...,...,...,...,...,...,...,...
26,1007.2,...,1009,2022/4/26 22:54,1005.6,2022/4/26 15:42,29.3,32.5,2022/4/26 13:21,27.2,2022/4/26 23:51,...,74,47,2022/4/26 14:03,1.8,182,8,210,2022/4/26 11:41,0,...,...,...,...,...,...,...,...,...,...,...,...,...
27,1008.5,...,1010.3,2022/4/27 22:03,1006.6,2022/4/27 15:23,29.1,32.7,2022/4/27 13:24,26.1,2022/4/27 04:53,...,70,47,2022/4/27 17:21,1.4,107,6.6,286,2022/4/27 12:53,0,...,...,...,...,...,...,...,...,...,...,...,...,...
28,1009.6,...,1010.7,2022/4/28 08:12,1007.8,2022/4/28 14:33,28.3,32.1,2022/4/28 12:53,25.1,2022/4/28 05:35,...,80,61,2022/4/28 12:53,1.6,28,8.5,251,2022/4/28 14:11,0,...,...,...,...,...,...,...,...,...,...,...,...,...
29,1009,...,1011.3,2022/4/29 22:04,1006.5,2022/4/29 16:01,28.9,33.3,2022/4/29 12:02,25.6,2022/4/29 04:22,...,77,59,2022/4/29 09:12,1.6,2,6.3,348,2022/4/29 20:28,0,...,...,...,...,...,...,...,...,...,...,...,...,...
30,1009.9,...,1011.5,2022/4/30 08:09,1007.6,2022/4/30 15:03,27.3,32.2,2022/4/30 14:32,24,2022/4/30 06:24,...,73,49,2022/4/30 14:32,2,3,7.3,3,2022/4/30 17:48,0,...,...,...,...,...,...,...,...,...,...,...,...,...
