,氣溫(℃)
186,28.8
187,29.2
188,29.1
189,29.0
190,27.5
191,26.1
192,26.1
193,25.8
194,27.9
195,27.9
196,26.4
197,25.1
198,25.8
199,26.5
200,26.6
201,24.5
202,25.4
203,25.5
204,25.4
205,26.2
206,26.2
207,25.5
208,24.7
209,25.2
210,25.1
211,26.0
212,25.4
213,25.8
214,26.5
215,26.2
216,27.8
217,26.5
218,24.4
219,20.9
220,20.8
221,21.1
222,22.6
223,21.5
224,21.3
225,23.5
226,24.2
227,23.9
228,23.7
229,23.9
230,24.4
231,25.3
232,22.6
233,19.1
234,20.2
235,20.9
236,22.2
237,22.0
238,22.3
239,22.9
240,22.9
241,20.9
242,16.2
243,16.4
244,20.2
245,22.9
246,23.4
247,23.8
248,24.4
249,25.4
250,26.4
251,26.7
252,26.2
253,26.2
254,26.0
255,24.7
256,24.0
257,23.6
258,24.5
259,22.9
260,24.3
261,26.2
262,27.8
263,27.9
264,28.1
265,30.0
266,29.6
267,29.0
268,28.3
269,29.1
270,27.5
271,28.5
272,28.1
273,28.2
274,27.5
275,26.9
276,29.2
277,30.0
278,30.1
279,30.4
280,30.4
281,30.5
282,30.7
283,30.9
284,29.6
285,28.0
286,29.1
287,29.8
288,30.0
289,30.5
290,31.2
291,30.7
292,30.7
293,30.7
294,30.9
295,31.1
296,30.8
297,30.2
298,30.8
299,30.4
300,29.5
301,29.9
302,29.2
303,29.5
304,29.3
305,29.4
306,29.4
307,29.0
308,28.4
309,28.0
310,27.9
311,25.5
312,24.2
313,25.4
314,26.8
315,27.3
316,27.3
317,27.4
318,26.8
319,24.2
320,24.9
321,26.3
322,26.4
323,25.7
324,26.5
325,25.4
326,25.0
327,25.3
328,25.9
329,26.2
330,26.3
331,25.3
332,23.5
333,29.8
334,29.5
335,30.1
336,27.7
337,28.7
338,29.1
339,26.5
340,26.6
341,27.9
342,29.1
343,28.4
344,28.9
345,29.5
346,29.6
347,29.6
348,29.6
349,29.9
350,29.7
351,30.1
352,30.3
353,30.4
354,30.5
355,30.9
356,30.5
357,29.6
358,29.7
359,29.9
360,29.6
361,28.8
362,29.3
363,24.5
364,19.1
365,20.9
366,24.7
367,26.1
368,26.1
369,27.1
370,26.6
371,26.9
372,27.4
373,26.2
374,26.9
375,27.0
376,25.3
377,24.3
378,20.0
379,22.5
380,25.3
381,26.3
382,27.0
383,26.6
384,26.8
385,26.2
386,27.3
387,26.9
388,26.7
389,26.8
390,28.3
391,28.6
392,29.3
393,29.5
394,18.2
395,18.2
396,18.2
397,18.3
398,19.6
399,19.8
400,20.8
401,20.5
402,21.2
403,21.4
404,21.8
405,21.0
406,20.5
407,20.9
408,21.7
409,21.5
410,20.7
411,17.4
412,19.3
413,19.1
414,20.0
415,20.5
416,21.0
417,21.9
418,18.8
419,16.2
420,15.2
421,17.6
422,19.4
423,18.8
424,17.7
425,23.8
426,23.8
427,22.6
428,24.0
429,24.2
430,23.2
431,18.0
432,17.5
433,20.5
434,21.1
435,23.2
436,22.6
437,24.1
438,25.7
439,25.9
440,24.3
441,25.4
442,25.7
443,24.7
444,24.7
445,24.7
446,26.7
447,20.1
448,20.5
449,26.1
450,28.1
451,25.4
452,20.4
453,23.2
454,24.6
455,25.5
456,29.4
457,29.6
458,29.3
459,29.8
460,28.6
461,28.9
462,30.3
463,29.8
464,30.0
465,30.0
466,30.0
467,30.3
468,29.4
469,28.5
470,27.3
471,28.1
472,28.9
473,29.7
474,28.4
475,27.5
476,28.9
477,28.8
478,29.0
479,28.9
480,28.5
481,29.7
482,29.7
483,28.6
484,27.8
485,26.2
486,24.9
487,28.7
488,30.0
489,30.7
490,30.5
491,26.6
492,24.6
493,26.9
494,28.6
495,28.8
496,29.3
497,29.6
498,29.7
499,29.6
500,29.8
501,29.5
502,27.6
503,28.5
504,28.9
505,28.0
506,26.9
507,27.5
508,25.7
509,26.2
510,25.5
511,26.1
512,27.2
513,26.1
514,25.4
515,26.2
516,28.5
517,26.4
518,25.9
519,27.1
520,26.9
521,26.3
522,27.7
523,26.9
524,26.4
525,26.8
526,27.4
527,28.2
528,28.4
529,27.1
530,26.0
531,28.4
532,29.5
533,29.4
534,28.9
535,28.9
536,29.3
537,29.0
538,29.1
539,29.6
540,29.1
541,28.8
542,28.2
543,28.5
544,29.3
545,29.6
546,27.3
547,28.6
548,27.1
549,27.3
550,26.7
551,26.2
552,23.6
553,23.1
554,23.1
555,23.5
556,21.9
557,22.5
558,23.8
559,24.7
560,26.1
561,25.8
562,24.7
563,25.1
564,26.5
565,26.0
566,24.8
567,25.7
568,26.7
569,26.1
570,26.5
571,26.6
572,24.3
573,23.4
574,24.0
575,25.3
576,23.9
577,25.0
578,25.5
579,25.7
580,24.4
581,24.5
582,25.4
583,24.0
584,25.1
585,22.7
586,21.2
587,21.9
588,23.4
589,23.7
590,24.1
591,23.9
592,23.9
593,25.0
594,25.9
595,25.9
596,27.3
597,27.9
598,26.6
599,26.4
600,25.3
601,25.4
602,25.2
603,25.2
604,24.3
605,23.0
606,22.3
607,22.2
608,14.6
609,15.8
610,17.6
611,19.1
612,19.2
613,18.5
614,15.5
615,10.8
616,11.8
617,14.2
618,14.8
619,12.9
620,15.2
621,16.5
622,17.6
623,18.1
624,16.2
625,15.4
626,17.3
627,18.9
628,20.5
629,21.1
630,19.6
631,19.2
632,20.7
633,19.8
634,18.7
635,17.7
636,17.0
637,17.9
638,18.5
639,25.9
640,26.8
641,25.7
642,28.0
643,28.1
644,27.1
645,28.5
646,28.8
647,28.6
648,28.5
649,28.8
650,29.5
651,29.5
652,30.4
653,30.8
654,30.1
655,29.8
656,29.9
657,30.5
658,30.4
659,30.3
660,30.4
661,31.1
662,30.6
663,30.6
664,30.2
665,30.7
666,30.3
667,29.3
668,26.5
669,28.5
670,19.8
671,20.2
672,19.1
673,19.7
674,19.5
675,20.6
676,20.2
677,19.7
678,19.9
679,19.7
680,19.4
681,19.0
682,20.6
683,19.4
684,20.0
685,20.8
686,19.5
687,17.3
688,17.7
689,18.4
690,19.9
691,21.4
692,21.5
693,21.5
694,22.1
695,23.0
696,21.7
697,21.4
698,22.3
699,22.6
700,20.6
701,20.4
702,21.3
703,21.9
704,23.0
705,21.2
706,21.2
707,22.5
708,22.9
709,22.9
710,22.7
711,21.3
712,19.6
713,19.9
714,19.9
715,20.9
716,19.6
717,19.2
718,17.8
719,19.8
720,20.4
721,21.2
722,20.4
723,21.0
724,21.2
725,22.2
726,22.8
727,16.6
728,12.0
729,24.2
730,22.9
731,20.5
732,21.9
733,23.6
734,24.7
735,22.6
736,21.6
737,21.6
738,21.7
739,22.2
740,23.7
741,23.0
742,22.5
743,23.1
744,24.9
745,26.2
746,24.6
747,24.9
748,25.2
749,22.8
750,17.4
751,20.2
752,20.1
753,21.6
754,23.5
755,25.4
756,26.2
757,25.8
758,26.6
759,26.9
