,觀測時間(day),測站氣壓(hPa),最高氣溫(℃),最低氣溫(℃),相對溼度(%)
100,9,998.0,31.1,22.3,78
101,10,997.3,31.7,23.5,74
102,11,996.4,34.0,24.4,72
103,12,996.9,35.6,24.4,65
104,13,997.8,34.6,25.6,69
105,14,998.3,33.3,25.6,70
106,15,997.7,34.2,25.8,73
107,16,997.2,35.1,26.5,67
108,17,998.2,34.3,26.2,66
109,18,998.7,31.8,26.1,75
110,19,997.3,33.5,25.6,75
111,20,996.9,35.2,25.5,65
112,21,996.7,34.8,25.4,68
113,22,996.3,33.7,25.6,76
114,23,997.1,34.5,25.7,71
115,24,998.6,35.0,23.8,75
116,25,999.4,33.9,23.5,77
117,26,997.3,33.0,24.3,70
118,27,996.5,36.3,26.5,64
119,28,996.3,36.9,25.5,70
120,29,995.0,28.7,23.5,88
121,30,993.2,28.1,23.6,94
122,31,994.7,25.6,22.0,97
123,1,999.0,32.5,25.0,78
124,2,1001.0,33.1,23.8,72
125,3,1001.7,34.5,24.4,57
126,4,1002.0,33.9,26.3,60
127,5,1001.0,33.5,25.7,59
128,6,997.9,33.4,25.6,63
129,7,997.0,34.3,26.0,61
130,8,997.8,33.7,25.9,61
131,9,998.9,32.9,25.8,65
132,10,998.0,33.4,25.1,67
133,11,994.2,28.4,23.1,96
134,12,992.3,30.4,23.6,86
135,13,997.3,29.5,24.5,86
136,14,999.1,30.1,24.1,75
137,15,999.3,31.9,24.5,63
138,16,1003.7,32.8,20.3,72
139,17,1010.4,22.7,18.6,79
140,18,1007.8,25.4,18.5,73
141,19,1007.6,27.3,19.6,73
142,20,1005.5,27.7,20.4,80
143,21,1005.0,23.7,17.7,94
144,22,1009.2,19.9,16.9,97
145,23,1009.3,20.1,17.0,92
146,24,1007.8,20.6,17.4,99
147,25,1006.6,22.5,17.7,95
148,26,1005.0,26.7,19.6,74
149,27,1006.6,26.2,20.3,70
150,28,1008.2,27.2,19.4,62
151,29,1008.5,25.2,18.2,69
152,30,1009.0,23.0,18.8,82
153,31,1008.6,27.2,18.5,77
154,1,996.0,31.6,22.3,87
155,2,996.5,34.6,23.6,80
156,3,994.7,35.6,24.9,73
157,4,992.8,32.5,23.6,86
158,5,992.3,27.2,20.2,94
159,6,994.8,24.5,20.8,96
160,7,998.2,31.8,22.4,90
161,8,998.7,34.5,23.0,77
162,9,997.2,33.4,24.7,75
163,10,995.6,34.2,24.7,70
164,11,996.5,34.2,24.8,67
165,12,998.6,34.6,24.1,73
166,13,998.1,34.1,24.8,74
167,14,994.3,34.8,26.4,65
168,15,991.9,34.1,26.9,65
169,16,993.1,35.6,27.0,59
170,17,994.4,35.8,27.6,61
171,18,993.1,36.4,27.8,60
172,19,991.0,36.1,28.0,57
173,20,989.9,35.5,28.0,61
174,21,990.6,33.7,26.9,66
175,22,993.1,31.3,23.1,88
176,23,995.7,28.4,22.2,91
177,24,995.8,28.8,22.8,91
178,25,995.5,28.5,24.0,91
179,26,995.3,33.6,23.5,73
180,27,993.7,35.0,26.2,62
181,28,992.2,34.2,27.0,61
182,29,993.0,34.2,26.8,62
183,30,994.1,33.9,27.0,67
184,1,987.5,32.1,25.1,89
185,2,987.7,32.2,25.1,81
186,3,988.2,31.7,25.8,81
187,4,989.5,33.4,24.4,87
188,5,988.6,31.2,24.4,92
189,6,987.3,26.7,23.7,97
190,7,988.0,25.3,22.6,99
191,8,994.0,34.4,23.1,82
192,9,996.1,33.1,26.4,81
193,10,997.2,33.7,23.9,87
194,11,998.7,33.3,24.4,78
195,12,998.4,34.6,25.2,71
196,13,996.2,33.1,25.9,77
197,14,996.7,34.6,25.0,82
198,15,1000.4,32.0,24.7,76
199,16,1001.8,34.6,25.9,72
200,17,999.8,35.0,26.1,67
201,18,998.4,31.4,25.3,78
202,19,998.7,33.1,24.1,79
203,20,999.3,34.2,23.7,75
204,21,998.3,33.9,24.3,78
205,22,997.0,34.2,24.4,73
206,23,996.8,34.9,25.6,70
207,24,997.7,34.7,25.2,74
208,25,999.5,34.8,24.8,80
209,26,1001.3,35.8,23.9,73
210,27,1001.2,34.0,24.9,72
211,28,1000.4,36.8,25.2,71
212,29,1000.2,35.7,25.8,64
213,30,1000.5,35.0,26.2,67
214,31,1000.0,33.6,26.9,68
215,1,994.7,35.3,26.5,66
216,2,995.7,35.5,26.4,68
217,3,995.8,35.7,26.6,69
218,4,997.2,33.9,26.9,73
219,5,996.0,35.4,26.0,64
220,6,994.6,35.8,27.3,72
221,7,1000.0,34.2,26.0,79
222,8,1000.1,35.0,25.4,72
223,9,998.7,36.1,26.0,65
224,10,999.5,35.1,27.2,71
225,11,1000.6,33.8,25.7,74
226,12,1000.1,33.1,27.5,80
227,13,999.0,34.7,21.5,77
228,14,998.5,35.6,24.9,69
229,15,998.0,36.4,26.6,61
230,16,997.8,35.1,26.6,66
231,17,994.8,36.5,25.8,60
232,18,993.6,36.0,26.8,61
233,19,993.4,37.0,27.2,59
234,20,994.0,36.2,26.9,68
235,21,992.2,34.1,24.2,84
236,22,986.6,29.7,24.9,97
237,23,983.7,29.9,24.3,93
238,24,983.7,29.8,23.1,86
239,25,984.5,37.0,25.1,62
240,26,985.4,36.8,28.2,63
241,27,985.3,38.6,26.9,70
242,28,987.0,36.4,25.1,77
243,29,990.2,35.8,25.1,81
244,30,991.3,35.0,24.6,86
245,31,990.3,33.4,24.9,87
246,1,996.3,30.1,22.5,83
247,2,998.5,30.2,22.2,83
248,3,1000.3,29.0,20.8,83
249,4,1004.5,22.9,16.4,76
250,5,1007.5,22.5,14.9,56
251,6,1006.8,24.2,15.2,65
252,7,1004.5,24.9,16.0,65
253,8,1003.4,22.3,15.0,86
254,9,1007.0,17.3,14.6,87
255,10,1008.1,20.5,15.8,86
256,11,1006.2,29.6,17.9,80
257,12,1004.0,29.6,19.1,74
258,13,1003.0,28.9,19.6,79
259,14,1003.7,21.3,16.8,83
260,15,1002.0,22.9,18.0,85
261,16,1002.5,27.7,18.1,81
262,17,1005.3,26.7,18.6,71
263,18,1004.7,23.6,18.3,58
264,19,1001.4,25.6,17.9,62
265,20,1000.4,29.0,19.8,57
266,21,999.0,29.7,20.8,66
267,22,995.5,32.4,22.4,72
268,23,996.7,28.6,21.6,82
269,24,999.2,30.0,21.2,73
270,25,1001.0,24.7,18.1,73
271,26,1001.6,28.6,17.6,59
272,27,1003.4,29.0,19.5,72
273,28,1003.6,22.5,19.6,95
274,29,1001.5,21.7,16.6,91
275,30,999.9,30.3,15.4,71
276,1,999.5,33.8,25.2,72
277,2,998.4,34.2,25.6,73
278,3,997.3,34.3,25.8,74
279,4,998.6,33.4,25.3,77
280,5,998.6,34.6,24.1,73
281,6,1000.4,34.2,25.3,76
282,7,999.7,35.6,24.7,69
283,8,998.3,36.1,26.6,68
284,9,998.4,36.0,25.5,60
285,10,996.7,36.5,26.3,61
286,11,989.9,34.4,25.9,69
287,12,986.4,28.9,23.4,89
288,13,994.9,34.5,24.9,66
289,14,1000.0,35.0,26.3,71
290,15,1000.0,34.1,25.2,75
291,16,998.7,31.5,23.3,82
292,17,999.5,33.2,24.4,79
293,18,1001.0,35.8,24.8,78
294,19,1000.7,35.0,24.9,71
295,20,999.9,36.5,25.5,66
296,21,999.1,35.7,26.4,68
297,22,1001.2,34.8,25.4,66
298,23,1003.1,36.3,25.0,65
299,24,1003.3,33.8,25.6,69
300,25,1002.1,32.2,25.0,69
301,26,1001.0,33.2,24.2,72
302,27,999.4,33.8,25.0,72
303,28,998.2,33.9,24.1,70
304,29,996.9,33.4,22.3,71
305,30,997.4,33.7,22.8,69
306,1,1004.1,26.8,15.5,80
307,2,1009.6,20.8,12.7,89
308,3,1008.3,17.5,13.4,83
309,4,1007.3,21.3,14.2,95
310,5,1005.0,25.1,15.9,84
311,6,1006.2,19.2,13.6,97
312,7,1008.3,18.0,14.9,96
313,8,1008.9,19.5,15.4,88
314,9,1008.7,24.6,16.2,83
315,10,1009.2,22.1,16.7,80
316,11,1007.6,25.1,17.5,80
317,12,1007.8,25.6,16.6,80
318,13,1007.5,23.4,16.4,64
319,14,1004.8,25.1,17.2,65
320,15,1002.7,27.4,17.2,69
321,16,1002.2,29.4,17.1,66
322,17,1002.6,22.5,18.3,86
323,18,1002.2,23.3,17.2,90
324,19,1000.8,25.2,17.5,83
325,20,999.9,26.2,18.7,81
326,21,1007.1,20.6,12.8,81
327,22,1012.8,14.9,10.3,87
328,23,1007.9,18.5,13.3,68
329,24,1005.5,17.2,12.4,89
330,25,1006.6,21.2,11.6,78
331,26,1003.4,25.2,17.0,80
332,27,999.9,28.9,17.0,73
333,28,997.1,29.3,19.3,80
334,29,996.4,29.2,20.2,84
335,30,995.2,29.2,21.8,80
336,31,996.1,27.7,19.6,89
337,1,1012.7,16.2,9.3,65
338,2,1011.2,15.5,11.9,75
339,3,1010.1,22.3,13.3,76
340,4,1008.8,19.9,15.5,93
341,5,1008.9,17.0,13.6,94
342,6,1008.2,15.5,13.1,91
343,7,1011.1,13.5,7.5,95
344,8,1014.4,7.8,5.8,84
345,9,1014.0,9.9,5.3,66
346,10,1011.6,15.3,6.6,65
347,11,1012.2,11.8,7.9,95
348,12,1010.9,14.0,7.4,75
349,13,1007.3,20.1,6.0,65
350,14,1005.1,23.1,9.4,63
351,15,1004.0,21.9,9.7,70
352,16,1006.6,22.4,13.4,71
353,17,1013.8,13.6,11.4,81
354,18,1010.8,16.6,10.2,66
355,19,1007.9,20.5,12.8,64
356,20,1005.4,24.4,16.0,72
357,21,1003.2,29.6,18.0,72
358,22,999.5,25.5,19.9,83
359,23,1002.1,20.4,17.1,88
360,24,1006.4,20.3,15.7,71
361,25,1006.4,20.8,15.5,78
362,26,1005.3,21.9,13.5,84
363,27,1006.0,20.9,15.6,82
364,28,1010.0,17.0,13.3,77
365,29,1012.0,17.2,12.7,56
366,30,1010.2,23.5,13.3,61
367,31,1009.7,22.8,12.7,67
368,1,1010.4,19.0,16.8,93
369,2,1009.2,21.6,16.7,84
370,3,1010.7,17.2,14.4,93
371,4,1009.6,18.0,14.6,91
372,5,1009.6,19.7,15.4,84
373,6,1008.1,21.9,17.3,86
374,7,1008.6,22.1,18.6,91
375,8,1008.6,20.8,16.6,93
376,9,1005.6,20.1,16.2,95
377,10,1004.6,23.6,19.0,90
378,11,1003.9,22.1,18.7,93
379,12,1004.1,20.3,17.0,84
380,13,1003.8,22.7,16.5,82
381,14,1008.2,19.3,14.6,87
382,15,1011.2,15.8,13.7,94
383,16,1011.8,15.8,13.9,93
384,17,1009.2,18.9,13.7,86
385,18,1008.7,20.4,15.1,92
386,19,1012.6,17.5,14.6,91
387,20,1012.5,17.7,14.7,85
388,21,1010.7,16.5,13.5,89
389,22,1007.2,21.5,15.3,85
390,23,1004.2,19.6,17.3,95
391,24,1004.9,18.1,15.6,89
392,25,1007.6,18.2,15.5,80
393,26,1006.3,23.6,16.1,81
394,27,1004.8,22.2,17.0,85
395,28,1003.1,21.7,16.6,79
396,29,1002.2,23.1,18.3,86
397,30,1013.7,19.5,8.9,75
398,31,1016.5,10.0,6.1,63
399,1,1007.2,23.6,12.6,67
400,2,1010.1,21.0,8.7,74
401,3,1009.7,24.2,14.2,58
402,4,1009.2,24.4,14.0,66
403,5,1006.8,26.5,15.3,70
404,6,1005.9,23.5,8.3,76
405,7,1005.7,27.7,7.9,75
406,8,1008.7,20.7,14.5,79
407,9,1008.3,19.4,13.7,77
408,10,1001.2,26.0,16.6,78
409,11,999.0,20.8,15.9,97
410,12,1002.4,23.8,16.7,85
411,13,1004.5,20.9,16.6,95
412,14,1002.5,21.7,15.0,89
413,15,1003.6,24.8,13.4,70
414,16,1003.9,25.6,16.7,69
415,17,1010.4,17.7,12.5,75
416,18,1014.9,18.5,11.0,52
417,19,1011.0,21.5,10.3,56
418,20,1008.0,22.0,10.0,73
419,21,1005.9,23.5,11.6,65
420,22,1004.5,26.0,12.5,63
421,23,1003.6,27.6,14.8,70
422,24,1001.0,29.6,18.6,64
423,25,998.7,26.1,18.1,74
424,26,998.9,23.8,16.2,87
425,27,1003.8,16.8,14.2,94
426,28,1004.9,20.9,14.8,85
427,1,1002.5,29.3,21.2,71
428,2,1003.3,27.1,21.2,70
429,3,1007.0,24.6,17.8,76
430,4,1007.2,24.7,17.5,65
431,5,1005.5,26.1,19.5,74
432,6,999.0,29.9,21.6,74
433,7,1002.8,29.4,19.8,82
434,8,1008.3,20.5,17.5,89
435,9,1008.5,21.3,18.6,70
436,10,1009.6,21.6,16.4,75
437,11,1010.4,23.8,18.3,63
438,12,1007.9,24.8,19.5,80
439,13,1007.2,22.1,20.2,94
440,14,1007.7,22.7,19.5,80
441,15,1006.3,28.5,20.6,70
442,16,1004.8,28.3,21.4,72
443,17,1003.0,29.4,22.6,70
444,18,1001.2,29.9,20.8,76
445,19,1000.4,29.7,21.3,73
446,20,1002.2,29.0,22.3,79
447,21,1003.6,26.8,21.6,87
448,22,1006.5,26.8,21.0,86
449,23,1008.9,23.6,20.1,82
450,24,1007.9,25.0,20.3,77
451,25,1006.0,27.7,20.6,73
452,26,1006.6,29.3,21.8,65
453,27,1009.6,23.3,18.1,77
454,28,1010.6,21.9,17.3,86
455,29,1010.8,20.8,17.0,83
456,30,1011.8,20.5,16.9,83
457,1,1002.4,23.0,19.0,89
458,2,1002.1,25.0,19.6,85
459,3,1002.6,26.6,21.2,83
460,4,1007.3,23.9,19.4,80
461,5,1009.5,22.6,18.9,76
462,6,1007.2,24.3,18.7,78
463,7,1005.2,25.7,20.8,81
464,8,1006.2,24.9,21.0,85
465,9,1004.0,30.1,22.6,69
466,10,1004.2,30.6,22.1,74
467,11,1003.9,29.2,23.3,81
468,12,1003.3,29.1,22.6,82
469,13,1005.3,29.5,21.9,78
470,14,1005.0,27.2,22.2,72
471,15,1004.0,29.5,22.0,76
472,16,1003.8,25.7,21.4,84
473,17,1003.8,27.7,21.6,82
474,18,1004.9,28.3,21.4,81
475,19,1003.7,29.7,22.5,76
476,20,1003.1,26.9,22.0,77
477,21,1003.0,26.6,22.3,77
478,22,1002.7,29.2,23.0,81
479,23,1004.9,23.5,19.7,91
480,24,1005.0,21.0,19.7,92
481,25,1004.1,25.2,20.2,91
482,26,1004.2,23.8,19.8,85
483,27,1002.4,27.9,20.5,78
484,28,1002.5,30.8,20.9,79
485,29,1002.9,30.4,23.3,79
486,30,1010.0,24.1,16.7,80
487,1,995.2,36.0,28.0,66
488,2,997.6,30.2,24.9,82
489,3,997.8,33.7,25.0,71
490,4,998.5,34.8,25.0,73
491,5,998.7,34.0,26.1,71
492,6,997.2,36.9,26.4,63
493,7,997.0,35.7,26.5,67
494,8,997.2,36.4,26.4,70
495,9,996.5,35.5,26.7,69
496,10,997.4,33.8,27.5,69
497,11,998.0,35.3,27.9,68
498,12,997.8,36.0,27.8,68
499,13,997.3,36.8,27.0,67
500,14,996.6,34.9,27.6,70
501,15,995.3,34.2,28.1,73
502,16,996.0,35.0,28.4,70
503,17,996.3,34.6,27.5,77
504,18,995.6,32.4,27.0,76
505,19,997.2,34.7,26.8,77
506,20,998.5,33.5,26.4,72
507,21,996.5,35.9,26.3,64
508,22,994.8,38.4,26.3,61
509,23,994.3,36.2,27.9,65
510,24,994.7,37.1,27.4,66
511,25,999.1,34.7,26.1,72
512,26,998.9,36.5,26.6,60
513,27,997.2,38.4,27.1,61
514,28,998.1,35.0,25.9,79
515,29,998.5,35.2,26.0,73
516,30,997.0,35.0,27.1,74
517,31,995.4,36.2,26.5,71
518,1,995.2,33.3,24.1,78
519,2,994.2,33.7,25.7,68
520,3,995.0,32.7,25.7,69
521,4,994.9,34.1,25.4,68
522,5,991.3,35.3,26.0,59
523,6,991.0,31.0,18.7,74
524,7,995.0,24.7,18.1,98
525,8,996.9,22.5,19.0,99
526,9,996.6,29.2,19.1,93
527,10,994.6,30.0,21.6,88
528,11,996.2,31.0,20.7,87
529,12,996.7,25.7,20.2,97
530,13,993.7,33.4,21.3,74
531,14,995.1,33.8,23.2,69
532,15,997.8,27.7,22.1,92
533,16,998.1,29.3,20.3,88
534,17,996.6,31.4,22.3,78
535,18,996.0,33.4,23.1,70
536,19,995.7,34.1,23.5,69
537,20,994.0,34.3,23.3,67
538,21,995.2,33.7,23.0,67
539,22,998.3,34.4,...,65
540,23,998.7,34.1,20.5,73
541,24,997.1,33.0,...,79
542,25,996.9,32.5,18.8,82
543,26,998.7,33.8,21.2,75
544,27,997.2,33.7,21.2,72
545,28,994.2,33.6,21.6,72
546,29,993.1,32.2,21.1,75
547,30,992.6,35.1,21.0,63
548,1,1002.5,33.7,25.3,66
549,2,1002.4,33.9,24.7,66
550,3,1002.0,33.8,25.5,67
551,4,1002.5,34.0,24.9,67
552,5,1004.4,30.2,24.1,77
553,6,1004.5,29.1,23.7,81
554,7,1004.4,27.7,23.3,86
555,8,1005.4,24.8,22.6,86
556,9,1005.7,27.0,21.0,85
557,10,1008.6,21.4,18.8,79
558,11,1007.1,22.9,20.0,67
559,12,1005.3,24.9,20.3,78
560,13,1003.6,26.2,21.4,80
561,14,1001.6,24.9,21.2,91
562,15,998.7,24.0,22.6,94
563,16,997.2,25.4,23.2,96
564,17,1001.7,24.2,18.5,90
565,18,1007.1,19.9,17.7,86
566,19,1007.8,23.1,18.3,70
567,20,1007.5,24.9,20.4,69
568,21,1004.7,27.8,21.4,79
569,22,1003.0,31.1,23.4,86
570,23,1005.7,23.6,20.0,90
571,24,1008.0,25.0,18.9,63
572,25,1008.4,24.3,19.9,59
573,26,1005.2,27.9,20.4,61
574,27,1004.2,29.3,21.3,68
575,28,1004.6,28.0,21.5,78
576,29,1004.2,24.0,21.6,83
577,30,1001.1,23.9,21.9,89
578,31,1000.5,22.8,19.0,94
579,1,989.2,33.3,27.0,70
580,2,990.8,29.8,25.5,90
581,3,989.7,32.2,26.1,84
582,4,988.9,33.2,23.7,86
583,5,990.3,34.5,24.0,89
584,6,991.8,33.0,24.8,83
585,7,993.3,33.3,26.2,83
586,8,992.1,33.0,25.4,79
587,9,990.4,32.6,26.2,86
588,10,990.6,33.7,27.3,83
589,11,991.4,33.9,27.0,82
590,12,991.4,32.5,27.8,84
591,13,989.5,33.1,27.7,79
592,14,988.8,34.2,27.0,70
593,15,988.4,33.4,27.8,62
594,16,987.8,34.8,29.3,61
595,17,988.1,34.6,28.0,65
596,18,988.9,33.3,28.5,71
597,19,992.1,33.3,27.5,83
598,20,994.6,33.7,26.9,83
599,21,995.3,35.0,27.2,70
600,22,993.8,35.9,27.8,74
601,23,991.8,35.5,27.7,74
602,24,990.8,36.4,27.2,76
603,25,992.2,34.3,28.0,81
604,26,991.9,32.9,27.8,85
605,27,991.2,33.6,27.6,80
606,28,990.4,33.0,27.3,83
607,29,988.9,33.1,24.7,84
608,30,986.9,31.5,25.1,92
609,31,987.5,34.0,26.6,78
610,1,996.1,30.6,24.2,78
611,2,990.7,26.9,24.2,92
612,3,985.9,28.3,25.4,92
613,4,986.4,29.3,24.6,86
614,5,991.5,33.7,25.7,71
615,6,999.8,30.3,24.8,75
616,7,1003.3,30.0,25.1,70
617,8,1003.4,32.8,23.7,57
618,9,1002.2,32.3,23.4,61
619,10,1000.0,32.2,22.8,63
620,11,996.8,26.7,24.3,89
621,12,993.6,27.8,23.9,90
622,13,993.7,29.0,23.6,84
623,14,993.3,31.5,23.3,75
624,15,993.9,33.2,24.2,73
625,16,994.3,33.0,23.8,72
626,17,994.9,33.6,24.0,68
627,18,994.5,33.0,24.5,62
628,19,996.1,32.8,23.4,65
629,20,999.4,30.2,23.2,62
630,21,1000.7,32.2,21.0,64
631,22,1000.3,31.4,22.7,60
632,23,1001.0,31.0,21.7,62
633,24,1001.2,24.5,22.3,86
634,25,999.9,26.7,23.9,89
635,26,997.8,33.1,24.9,74
636,27,997.4,33.3,25.4,63
637,28,997.6,34.7,25.5,63
638,29,999.7,33.2,25.7,66
639,30,1001.8,34.8,25.3,66
640,1,1003.4,20.0,14.4,92
641,2,1004.0,16.6,13.5,92
642,3,1003.8,21.6,14.5,80
643,4,1001.0,26.2,18.3,78
644,5,999.7,25.5,21.1,85
645,6,1000.3,28.1,20.9,79
646,7,1001.6,30.1,20.7,73
647,8,1001.6,29.0,21.2,82
648,9,1000.9,27.9,22.0,82
649,10,998.5,29.5,21.8,77
650,11,997.9,30.3,21.8,88
651,12,996.4,31.0,21.4,89
652,13,994.5,29.9,21.6,82
653,14,999.1,22.5,18.8,98
654,15,1001.1,19.7,15.7,97
655,16,1001.4,17.9,15.1,98
656,17,1002.2,23.2,15.3,76
657,18,1001.7,28.7,18.6,74
658,19,999.1,29.3,21.7,79
659,20,996.7,27.9,20.9,82
660,21,996.9,24.5,19.8,82
661,22,996.6,24.6,19.8,86
662,23,997.3,25.2,20.9,95
663,24,999.4,25.0,20.6,96
664,25,997.2,23.5,20.6,99
665,26,993.9,27.9,19.5,97
666,27,994.3,23.7,19.5,98
667,28,994.9,30.5,21.1,88
668,29,994.5,33.9,22.5,75
669,30,994.6,32.8,23.7,78
670,31,996.6,28.7,24.2,94
671,1,1004.8,28.1,16.3,74
672,2,1005.8,22.5,16.7,82
673,3,1004.0,28.4,16.6,75
674,4,1002.0,26.1,17.0,78
675,5,1002.2,24.0,17.9,74
676,6,1003.4,21.5,16.1,73
677,7,1005.2,18.2,10.4,94
678,8,1005.5,22.0,9.8,62
679,9,1004.6,25.8,12.3,59
680,10,1003.8,24.9,16.1,67
681,11,1002.3,26.0,13.8,66
682,12,1000.9,28.2,14.4,67
683,13,1000.9,29.9,13.7,66
684,14,1000.2,28.1,10.2,64
685,15,999.2,28.6,14.8,71
686,16,999.1,29.5,14.1,71
687,17,997.1,28.6,12.1,78
688,18,997.2,23.2,14.4,76
689,19,998.9,26.9,11.1,72
690,20,1001.4,29.6,17.6,74
691,21,1001.9,24.7,15.0,86
692,22,1003.2,21.1,14.4,90
693,23,1004.2,16.7,12.3,93
694,24,1003.3,21.5,12.6,82
695,25,999.1,27.3,17.4,80
696,26,998.7,28.1,16.5,84
697,27,1003.6,17.3,13.1,89
698,28,1007.0,17.1,13.0,94
699,29,1004.7,25.4,16.2,79
700,30,1004.6,28.1,19.5,81
701,31,1006.3,24.0,14.9,87
702,1,1011.5,17.4,12.8,75
703,2,1011.5,14.5,11.5,92
704,3,1011.6,16.3,11.2,80
705,4,1010.1,22.6,12.8,66
706,5,1007.1,27.3,15.7,67
707,6,1004.9,28.2,15.1,67
708,7,1004.8,23.9,17.3,68
709,8,1002.9,26.9,16.6,60
710,9,1000.8,31.1,11.0,58
711,10,1000.0,30.7,13.6,61
712,11,998.8,31.0,19.6,68
713,12,996.9,30.7,17.9,70
714,13,994.9,31.2,17.5,67
715,14,997.6,23.8,14.6,79
716,15,1002.6,21.5,11.2,80
717,16,1003.6,22.1,16.0,63
718,17,1004.7,19.2,11.1,74
719,18,1005.0,21.4,17.0,79
720,19,1006.2,17.9,14.2,86
721,20,1002.9,23.9,14.3,76
722,21,1001.7,27.5,18.7,82
723,22,1000.8,31.1,19.9,73
724,23,998.9,31.1,22.6,76
725,24,998.0,31.0,22.6,76
726,25,997.5,30.6,23.0,77
727,26,996.2,32.9,23.4,74
728,27,998.8,31.2,23.9,78
729,28,999.8,29.8,22.7,78
730,29,1000.3,31.8,19.3,78
731,30,1002.3,22.7,18.4,82
732,1,1002.6,17.4,14.0,86
733,2,1003.0,15.9,13.9,95
734,3,1001.3,15.1,13.3,95
735,4,1004.5,13.8,11.6,91
736,5,1007.4,13.5,11.5,83
737,6,1006.3,15.8,12.2,79
738,7,1000.7,21.2,12.6,83
739,8,1003.6,15.0,13.1,83
740,9,1002.3,17.0,13.9,89
741,10,1001.9,17.0,14.3,91
742,11,1000.2,22.6,14.8,87
743,12,999.7,17.5,15.8,91
744,13,997.9,20.2,13.6,88
745,14,1001.5,14.9,12.1,85
746,15,1000.8,17.3,14.0,74
747,16,1000.2,18.9,14.1,79
