,氣溫(℃)
497,29.1
498,29.9
499,30.1
500,29.4
501,29.8
502,30.6
503,30.3
504,30.1
505,30.1
506,30.4
507,30.7
508,30.4
509,30.9
510,30.5
511,30.1
512,30.2
513,30.8
514,31.0
515,29.6
516,25.7
517,25.6
518,17.8
519,18.7
520,18.2
521,18.5
522,19.0
523,19.4
524,19.1
525,19.8
526,19.7
527,19.1
528,17.3
529,18.5
530,20.4
531,19.4
532,19.5
533,20.4
534,18.1
535,16.6
536,16.5
537,16.3
538,17.7
539,19.2
540,20.1
541,20.0
542,21.4
543,22.1
544,18.7
545,20.7
546,24.4
547,24.4
548,23.5
549,23.1
550,24.0
551,24.6
552,25.3
553,22.2
554,21.4
555,21.3
556,22.8
557,24.0
558,23.2
559,23.5
560,24.2
561,24.9
562,25.0
563,24.9
564,25.7
565,26.4
566,27.0
567,25.2
568,24.7
569,24.3
570,24.1
571,24.3
572,22.9
573,22.0
574,21.6
575,21.4
576,21.8
577,21.6
578,19.0
579,19.3
580,20.3
581,21.2
582,21.9
583,20.5
584,19.3
585,21.7
586,21.6
587,21.6
588,20.7
589,19.3
590,18.2
591,18.3
592,19.0
593,19.5
594,18.5
595,18.4
596,17.4
597,19.5
598,18.7
599,18.8
600,18.8
601,20.1
602,20.3
603,21.5
604,21.8
605,14.6
606,10.5
607,29.4
608,29.8
609,29.9
610,29.3
611,29.8
612,28.6
613,28.9
614,29.5
615,29.8
616,30.0
617,29.6
618,29.6
619,27.9
620,28.8
621,28.2
622,27.2
623,28.6
624,28.4
625,28.1
626,28.4
627,29.3
628,27.9
629,27.4
630,28.0
631,29.8
632,28.9
633,30.6
634,30.9
635,30.0
636,29.7
637,27.3
638,26.7
639,29.0
640,30.0
641,29.6
642,26.2
643,24.6
644,27.0
645,27.9
646,28.6
647,29.6
648,29.7
649,29.1
650,29.0
651,29.7
652,30.1
653,28.3
654,30.0
655,30.1
656,28.5
657,27.2
658,26.0
659,25.5
660,25.8
661,25.9
662,26.8
663,26.8
664,27.4
665,26.2
666,25.9
667,28.2
668,26.0
669,26.4
670,26.0
671,24.1
672,22.1
673,22.3
674,21.4
675,21.6
676,19.1
677,21.0
678,22.4
679,23.9
680,24.9
681,23.3
682,23.2
683,24.6
684,24.9
685,24.3
686,24.2
687,25.4
688,26.0
689,25.4
690,26.0
691,25.6
692,23.5
693,25.0
694,23.9
695,23.5
696,21.8
697,24.3
698,22.7
699,19.5
700,17.5
701,19.6
702,21.8
703,21.0
704,18.7
705,19.4
706,20.1
707,20.9
708,21.4
709,22.7
710,21.1
711,21.1
712,21.8
713,24.3
714,24.0
715,23.4
716,23.4
717,23.9
718,19.5
719,14.6
720,18.2
721,17.3
722,19.2
723,22.0
724,23.9
725,25.4
726,25.5
727,26.5
728,26.1
729,13.7
730,15.2
731,16.6
732,17.4
733,18.2
734,16.2
735,13.8
736,9.1
737,10.4
738,13.5
739,12.0
740,11.1
741,13.1
742,14.5
743,15.4
744,16.5
745,15.4
746,14.8
747,16.4
748,17.6
749,21.1
750,21.2
751,20.6
752,18.7
753,19.0
754,18.2
755,17.8
756,16.4
757,16.7
758,16.9
759,17.4
