,觀測時間(day),測站氣壓(hPa),最高氣溫(℃),最低氣溫(℃),相對溼度(%)
216,3,1010.1,20.1,13.2,84
217,4,1010.4,26.1,12.6,74
218,5,1009.1,27.3,16.7,75
219,6,1006.6,27.2,17.0,75
220,7,1005.0,26.8,20.2,70
221,8,1003.5,28.7,20.1,68
222,9,1002.8,28.8,19.6,69
223,10,1002.1,30.9,21.3,62
224,11,1000.9,30.8,21.7,69
225,12,999.1,31.0,21.9,65
226,13,997.3,30.6,22.4,69
227,14,998.1,29.6,21.6,70
228,15,1001.1,27.3,19.8,68
229,16,1002.9,25.3,18.9,65
230,17,1005.6,24.0,16.5,78
231,18,1006.1,26.7,18.1,75
232,19,1006.6,22.0,17.6,85
233,20,1004.8,26.5,17.4,82
234,21,1003.7,29.2,20.2,75
235,22,1003.0,31.8,21.9,70
236,23,1001.4,31.0,23.2,72
237,24,1000.3,31.7,22.9,73
238,25,999.9,31.9,24.2,77
239,26,999.2,33.2,23.8,78
240,27,1000.8,32.8,24.9,72
241,28,1002.0,31.1,24.3,76
242,29,1001.7,33.1,23.9,76
243,30,1002.8,30.3,22.2,73
244,1,1008.6,19.0,14.4,89
245,2,1008.4,22.0,15.4,87
246,3,1007.0,18.8,14.8,89
247,4,1008.7,21.9,14.2,79
248,5,1011.8,19.3,13.4,73
249,6,1011.4,21.6,11.9,75
250,7,1007.5,23.4,12.3,79
251,8,1007.9,20.7,15.2,79
252,9,1008.5,24.3,15.2,79
253,10,1007.3,23.8,15.6,81
254,11,1007.0,23.2,15.0,85
255,12,1005.3,22.2,15.4,81
256,13,1003.5,23.9,15.5,82
257,14,1005.8,18.2,14.1,86
258,15,1006.6,22.4,14.1,79
259,16,1005.4,23.7,15.0,76
260,17,1004.6,22.0,14.6,81
261,18,1005.1,23.5,15.5,83
262,19,1005.3,20.6,12.7,87
263,20,1008.8,12.7,10.4,90
264,21,1010.5,14.1,10.2,94
265,22,1009.4,16.8,13.6,95
266,23,1010.7,15.3,13.0,89
267,24,1012.7,18.8,12.8,75
268,25,1012.4,22.6,12.1,78
269,26,1010.7,24.5,14.2,79
270,27,1009.0,26.7,13.9,67
271,28,1008.4,27.8,14.9,64
272,1,1013.7,24.3,14.3,69
273,2,1011.5,25.0,12.5,71
274,3,1010.5,24.8,13.6,73
275,4,1009.2,25.4,13.8,78
276,5,1007.5,23.8,15.8,79
277,6,1008.2,23.0,15.0,77
278,7,1010.4,20.9,14.8,78
279,8,1008.6,22.9,14.3,74
280,9,1006.8,23.2,14.0,76
281,10,1006.0,23.5,13.7,77
282,11,1008.0,17.9,12.7,72
283,12,1010.1,17.7,12.9,70
284,13,1010.7,20.9,12.4,67
285,14,1010.3,21.8,11.3,65
286,15,1010.4,23.7,14.9,72
287,16,1010.1,25.3,14.5,76
288,17,1009.4,22.1,16.4,82
289,18,1008.3,22.4,15.9,80
290,19,1006.7,24.5,15.6,76
291,20,1006.1,25.9,13.9,72
292,21,1007.3,19.7,16.9,90
293,22,1004.3,21.0,16.6,94
294,23,1002.3,24.9,16.9,91
295,24,1003.9,20.0,17.2,88
296,25,1005.8,26.0,16.5,80
297,26,1006.8,27.2,16.5,83
298,27,1006.5,27.6,16.8,79
299,28,1005.4,22.4,17.8,82
300,29,1002.6,19.0,16.4,87
301,30,1006.0,17.6,11.9,79
302,31,1008.4,21.1,10.0,71
303,1,1007.0,28.6,16.8,69
304,2,1006.7,27.0,19.0,75
305,3,1006.2,28.2,18.2,74
306,4,1004.3,28.2,18.9,71
307,5,1003.4,27.1,17.7,74
308,6,1004.7,27.4,18.3,72
309,7,1006.1,20.4,11.9,81
310,8,1006.1,23.6,10.2,62
311,9,1007.0,23.8,14.3,69
312,10,1006.3,25.6,14.3,62
313,11,1004.2,27.4,15.3,58
314,12,1003.4,28.8,16.3,62
315,13,1003.1,30.6,18.9,61
316,14,1002.3,28.4,19.9,62
317,15,1000.9,29.8,18.7,71
318,16,1001.7,28.2,19.2,80
319,17,999.6,28.3,20.8,76
320,18,998.5,27.6,21.2,77
321,19,1000.5,28.9,19.2,71
322,20,1003.5,28.6,21.0,74
323,21,1003.8,30.7,21.1,79
324,22,1003.7,25.4,19.1,81
325,23,1004.2,20.0,15.2,92
326,24,1005.2,20.2,15.0,93
327,25,1001.9,28.4,18.8,84
328,26,1002.3,26.0,22.8,91
329,27,1003.7,23.1,17.0,89
330,28,1007.0,17.5,14.6,95
331,29,1006.5,24.4,17.4,88
332,30,1006.1,28.6,19.9,82
333,31,1006.3,29.3,18.9,81
334,1,1000.8,33.1,26.4,76
335,2,999.7,32.6,26.7,74
336,3,998.6,32.5,23.5,82
337,4,999.7,32.1,23.7,75
338,5,1000.1,32.8,24.8,76
339,6,1001.6,33.5,24.6,74
340,7,1001.0,34.1,25.5,71
341,8,999.6,33.0,25.6,77
342,9,999.5,34.7,26.8,74
343,10,997.8,33.4,27.2,76
344,11,990.3,32.6,26.4,77
345,12,988.6,30.0,24.5,89
346,13,997.9,32.0,24.0,79
347,14,1001.8,33.9,26.0,71
348,15,1001.2,34.7,25.6,74
349,16,999.7,34.1,24.0,78
350,17,1000.5,33.3,24.7,75
351,18,1002.1,33.7,27.2,73
352,19,1002.1,33.6,26.1,74
353,20,1001.3,33.9,26.0,70
354,21,1000.3,32.7,26.1,71
355,22,1002.2,33.4,25.0,69
356,23,1004.3,33.7,25.0,71
357,24,1003.8,33.0,25.9,73
358,25,1002.2,34.2,25.8,68
359,26,1001.3,33.4,25.5,71
360,27,1000.0,32.7,24.7,72
361,28,998.5,32.7,25.1,74
362,29,997.6,32.9,25.3,72
363,30,998.5,32.9,25.5,75
364,1,1008.3,22.3,14.5,53
365,2,1009.1,22.2,14.5,61
366,3,1009.7,22.9,12.7,53
367,4,1010.3,24.5,10.9,54
368,5,1009.7,26.4,12.8,65
369,6,1007.7,25.3,14.7,74
370,7,1009.1,25.8,14.8,70
371,8,1010.8,25.9,14.6,68
372,9,1010.6,26.5,16.0,74
373,10,1009.1,27.2,15.4,70
374,11,1010.2,25.7,17.0,76
375,12,1009.7,26.9,15.7,74
376,13,1009.0,24.5,16.7,69
377,14,1007.7,27.5,15.4,76
378,15,1006.7,28.2,16.8,79
379,16,1006.3,27.6,17.7,75
380,17,1007.6,23.9,15.5,70
381,18,1011.0,20.4,14.5,60
382,19,1010.7,24.0,16.0,57
383,20,1009.2,22.2,16.5,67
384,21,1004.5,20.5,17.2,91
385,22,1004.3,20.8,17.6,84
386,23,1005.5,23.9,17.4,84
387,24,1006.2,24.0,18.8,82
388,25,1009.5,22.9,16.2,71
389,26,1013.4,19.9,14.8,69
390,27,1015.2,15.2,13.0,82
391,28,1013.2,22.9,13.3,78
392,29,1012.7,24.2,14.5,79
393,30,1013.2,22.0,14.1,70
394,31,1014.1,21.8,13.9,67
395,1,1007.9,30.4,21.7,72
396,2,1007.3,29.3,20.8,70
397,3,1005.9,28.9,22.1,74
398,4,1005.1,30.1,22.7,75
399,5,1002.7,31.0,21.8,71
400,6,1000.7,31.6,22.4,72
401,7,1002.0,32.3,21.8,71
402,8,1004.6,26.8,18.0,75
403,9,1007.3,24.5,17.3,60
404,10,1007.7,22.8,15.0,56
405,11,1007.1,26.8,13.6,57
406,12,1007.8,25.7,17.8,66
407,13,1007.7,23.9,17.9,79
408,14,1006.7,25.6,17.7,70
409,15,1006.0,27.9,17.7,69
410,16,1006.5,28.5,18.5,73
411,17,1005.7,29.1,19.6,77
412,18,1003.2,26.7,20.6,78
413,19,1001.0,28.6,19.2,75
414,20,1002.4,29.3,20.0,73
415,21,1003.6,29.7,21.0,77
416,22,1005.0,25.1,17.0,74
417,23,1008.9,20.2,15.9,72
418,24,1008.7,24.6,15.4,68
419,25,1007.1,23.4,16.8,78
420,26,1007.4,23.2,18.1,83
421,27,1007.7,25.2,17.9,74
422,28,1007.9,25.3,19.8,79
423,29,1004.9,28.6,20.2,77
424,30,1005.7,26.0,17.9,73
425,1,1000.0,33.6,26.1,71
426,2,1001.7,33.9,24.9,72
427,3,1002.6,33.8,25.6,72
428,4,1002.6,33.7,25.2,69
429,5,1000.6,32.8,25.4,69
430,6,998.4,34.2,24.6,64
431,7,998.1,33.2,25.5,70
432,8,998.6,33.4,26.9,71
433,9,998.9,32.7,25.9,74
434,10,996.9,33.1,25.7,67
435,11,988.7,33.4,26.8,64
436,12,989.5,31.8,25.5,82
437,13,998.2,29.1,24.3,90
438,14,1000.2,28.4,24.6,88
439,15,999.8,31.5,24.9,79
440,16,1002.7,32.2,25.6,72
441,17,1006.0,28.5,21.9,61
442,18,1006.8,29.1,21.8,65
443,19,1007.3,30.4,21.1,69
444,20,1006.0,30.0,22.5,73
445,21,1004.6,27.9,21.9,75
446,22,1006.6,23.9,21.1,75
447,23,1007.1,29.8,20.9,72
448,24,1006.7,26.0,21.5,80
449,25,1004.8,29.1,21.5,71
450,26,1004.8,31.8,22.2,70
451,27,1006.0,31.6,22.0,67
452,28,1007.1,30.3,22.0,63
453,29,1007.7,28.4,21.0,63
454,30,1008.4,28.8,22.1,65
455,31,1008.0,30.0,21.1,70
456,1,989.8,28.8,23.6,96
457,2,989.3,26.7,23.8,97
458,3,989.8,30.4,24.9,94
459,4,990.2,32.0,24.3,81
460,5,989.7,27.4,25.0,93
461,6,988.3,26.7,24.1,97
462,7,990.5,26.9,24.7,97
463,8,996.0,31.0,24.6,90
464,9,998.1,29.4,25.5,87
465,10,998.6,32.7,23.7,88
466,11,1000.3,32.5,23.1,86
467,12,1000.5,32.3,24.6,80
468,13,998.0,32.8,25.4,77
469,14,998.5,32.1,24.7,78
470,15,1002.0,32.2,24.5,78
471,16,1003.4,33.2,25.9,74
472,17,1001.3,33.6,26.4,73
473,18,999.4,30.9,24.1,77
474,19,999.8,33.6,24.0,82
475,20,1000.5,33.3,23.2,75
476,21,999.6,33.0,25.8,75
477,22,998.4,33.3,25.5,71
478,23,998.6,33.0,27.1,69
479,24,999.5,32.4,25.8,76
480,25,1000.8,33.7,24.2,77
481,26,1002.4,33.0,23.0,77
482,27,1002.3,33.7,25.3,72
483,28,1001.6,33.7,26.0,75
484,29,1001.4,34.6,25.8,74
485,30,1001.6,30.5,26.8,75
486,31,1001.3,31.9,26.3,75
487,1,1002.8,29.8,20.4,68
488,2,1004.4,31.8,19.9,71
489,3,1003.9,29.5,22.8,76
490,4,1002.1,32.3,22.5,74
491,5,1003.7,30.1,21.2,76
492,6,1005.2,32.6,20.6,68
493,7,1003.2,32.6,23.5,70
494,8,1000.5,33.1,25.1,74
495,9,1000.0,34.7,24.7,69
496,10,999.7,33.2,25.5,71
497,11,999.7,34.3,25.5,68
498,12,999.6,35.4,24.9,63
499,13,999.9,35.0,26.8,66
500,14,1000.7,33.7,26.3,71
501,15,1000.2,35.4,25.7,69
502,16,1000.2,37.0,26.6,65
503,17,1000.7,35.3,26.9,66
504,18,1000.8,35.0,27.5,69
505,19,999.4,36.3,27.0,72
506,20,999.8,35.7,26.7,63
507,21,999.4,35.9,27.1,64
508,22,998.7,35.2,27.6,67
509,23,999.3,36.5,27.1,67
510,24,1000.6,35.8,27.0,69
511,25,1000.7,35.8,26.3,67
512,26,1000.2,35.3,26.7,67
513,27,1000.1,36.8,27.4,65
514,28,999.8,36.5,27.9,65
515,29,998.0,33.1,28.2,72
516,30,996.1,28.8,23.1,91
517,31,996.3,29.1,24.2,96
518,1,1009.5,24.9,12.6,57
519,2,1009.2,26.4,12.7,61
520,3,1010.9,25.4,13.6,71
521,4,1010.9,25.0,13.1,71
522,5,1009.0,25.7,14.0,72
523,6,1007.7,27.2,14.4,67
524,7,1007.7,26.1,14.4,75
525,8,1008.1,26.6,14.8,71
526,9,1007.6,27.4,15.3,66
527,10,1003.5,24.4,16.2,79
528,11,1001.3,19.7,16.3,92
529,12,1003.5,22.0,16.4,85
530,13,1004.9,26.2,16.7,78
531,14,1004.3,25.1,16.7,81
532,15,1004.4,26.0,14.2,73
533,16,1005.7,26.7,16.7,69
534,17,1008.6,22.0,14.9,63
535,18,1012.5,21.7,12.4,46
536,19,1012.3,22.8,12.0,59
537,20,1010.1,22.4,12.0,64
538,21,1008.2,24.8,12.1,52
539,22,1006.4,27.1,12.5,55
540,23,1004.4,27.8,15.1,71
541,24,1003.3,24.5,17.6,80
542,25,1001.0,26.8,17.9,77
543,26,1000.0,28.5,18.1,73
544,27,1003.9,23.5,16.8,78
545,28,1005.6,27.1,16.6,72
546,1,1003.9,29.4,20.6,71
547,2,1002.7,30.8,20.2,71
548,3,1004.4,28.4,21.2,66
549,4,1005.4,29.1,20.5,64
550,5,1005.3,30.0,19.9,69
551,6,1001.3,30.2,19.9,77
552,7,1004.1,28.6,22.5,79
553,8,1005.7,25.8,20.4,74
554,9,1005.9,24.7,20.0,70
555,10,1007.6,25.5,18.4,73
556,11,1007.9,29.7,18.1,67
557,12,1005.8,31.2,18.5,69
558,13,1005.3,26.8,21.4,76
559,14,1006.1,28.4,20.8,77
560,15,1007.6,28.8,20.5,74
561,16,1006.0,29.6,22.1,76
562,17,1004.7,30.1,21.5,74
563,18,1003.1,30.7,20.5,73
564,19,1002.2,31.5,21.2,70
565,20,1003.2,32.4,22.8,72
566,21,1004.3,33.7,23.1,70
567,22,1006.9,29.7,22.8,75
568,23,1008.0,30.3,21.3,70
569,24,1008.0,29.9,21.1,72
570,25,1007.4,29.8,20.4,75
571,26,1007.6,30.6,20.4,75
572,27,1008.7,28.1,19.9,74
573,28,1009.1,27.5,19.4,72
574,29,1009.3,27.3,18.9,71
575,30,1009.4,25.8,18.8,71
576,1,1008.2,27.9,17.7,71
577,2,1006.8,27.7,18.1,70
578,3,1006.7,22.7,17.2,71
579,4,1006.7,22.1,17.1,73
580,5,1007.5,26.3,18.0,72
581,6,1006.8,27.6,16.2,76
582,7,1007.4,26.7,19.6,77
583,8,1007.1,23.8,18.5,77
584,9,1005.7,21.2,17.5,86
585,10,1005.1,25.8,19.5,82
586,11,1004.3,26.3,19.6,82
587,12,1003.8,26.7,18.7,76
588,13,1004.6,27.4,17.7,77
589,14,1007.3,24.1,16.6,78
590,15,1009.7,22.9,16.2,76
591,16,1010.3,21.9,16.9,76
592,17,1009.2,25.0,16.4,74
593,18,1009.3,25.1,15.1,80
594,19,1010.2,22.4,16.1,77
595,20,1010.6,22.7,16.0,74
596,21,1009.4,19.7,15.7,81
597,22,1007.4,25.4,15.8,79
598,23,1006.0,21.9,17.5,87
599,24,1004.6,22.6,16.2,84
600,25,1007.2,23.9,16.0,75
601,26,1007.9,25.1,15.8,75
602,27,1005.7,24.9,16.4,77
603,28,1003.1,28.5,17.4,76
604,29,1003.4,26.3,19.4,78
605,30,1009.3,21.0,11.0,72
606,31,1014.0,11.8,9.1,71
607,1,998.4,33.7,25.0,71
608,2,998.7,33.3,26.6,72
609,3,998.3,33.8,27.4,73
610,4,999.2,33.1,26.4,74
611,5,997.9,35.0,25.3,69
612,6,997.3,32.2,26.9,80
613,7,1002.2,33.3,26.0,80
614,8,1002.5,33.3,26.1,75
615,9,1001.2,34.5,26.1,73
616,10,1001.7,33.4,28.0,73
617,11,1002.6,33.0,26.8,76
618,12,1001.7,33.4,27.3,77
619,13,1000.2,33.5,22.5,81
620,14,999.6,34.2,23.4,74
621,15,999.5,33.0,24.6,79
622,16,999.2,32.9,24.0,81
623,17,996.2,33.3,24.8,74
624,18,994.9,32.9,25.4,80
625,19,994.7,33.3,25.2,82
626,20,994.6,32.3,25.3,78
627,21,991.6,34.1,25.6,72
628,22,986.5,31.6,24.5,84
629,23,984.3,30.3,25.2,87
630,24,986.7,30.9,25.4,81
631,25,988.7,33.6,25.7,76
632,26,988.6,32.5,26.4,84
633,27,987.2,34.9,27.8,73
634,28,988.7,34.1,27.7,71
635,29,991.8,33.6,25.8,76
636,30,993.0,32.7,27.7,73
637,31,992.4,30.2,24.2,83
638,1,998.1,32.7,24.0,88
639,2,998.7,34.9,25.1,76
640,3,997.3,35.0,25.5,72
641,4,994.7,34.2,26.1,78
642,5,994.7,30.6,24.0,91
643,6,996.2,27.1,23.4,96
644,7,1000.1,32.0,23.4,78
645,8,1000.7,33.7,23.9,76
646,9,999.1,33.7,23.2,74
647,10,997.5,33.9,25.9,69
648,11,998.2,33.4,25.7,68
649,12,1001.0,34.1,24.6,75
650,13,1000.5,33.9,24.5,76
651,14,997.6,34.3,26.0,70
652,15,995.7,33.7,27.5,71
653,16,997.9,30.8,24.2,79
654,17,998.9,34.0,26.8,69
655,18,997.6,33.8,25.9,71
656,19,995.7,30.3,25.9,80
657,20,994.2,29.9,24.6,86
658,21,994.8,28.7,24.0,93
659,22,996.0,29.6,23.8,92
660,23,997.4,27.4,23.9,90
661,24,997.7,29.3,23.8,89
662,25,997.5,31.3,23.5,84
663,26,999.0,29.4,24.5,85
664,27,998.0,30.4,25.3,82
665,28,997.0,30.0,24.2,91
666,29,997.9,30.4,24.5,93
667,30,998.3,32.3,24.3,79
668,1,998.8,28.6,23.8,79
669,2,1000.5,32.5,21.7,74
670,3,1001.9,31.1,23.5,75
671,4,1003.3,29.5,19.8,69
672,5,1006.4,28.0,18.5,49
673,6,1006.5,28.8,17.3,55
674,7,1005.6,25.2,17.7,66
675,8,1004.1,28.0,18.6,74
676,9,1006.3,22.7,17.3,71
677,10,1008.1,26.8,17.5,71
678,11,1008.5,29.2,17.7,76
679,12,1006.3,29.9,20.6,73
680,13,1004.4,30.6,20.4,72
681,14,1003.9,28.6,19.6,71
682,15,1003.1,29.3,18.9,70
683,16,1003.3,31.2,19.6,68
684,17,1004.2,31.3,21.4,61
685,18,1003.4,30.6,20.9,55
686,19,1002.3,29.7,20.7,56
687,20,1001.8,29.7,21.5,63
688,21,1000.6,31.3,21.6,64
689,22,997.9,30.1,22.5,78
690,23,997.3,31.0,23.1,72
691,24,1000.0,32.0,21.6,70
692,25,1002.3,26.5,21.3,79
693,26,1003.4,31.0,20.8,70
694,27,1005.6,27.8,22.1,77
695,28,1005.3,26.3,21.6,79
696,29,1002.8,23.4,20.0,88
697,30,1002.3,29.9,18.8,73
698,1,1006.3,28.6,17.8,70
699,2,1007.7,23.0,16.4,70
700,3,1009.8,19.5,15.8,75
701,4,1009.0,26.9,15.9,78
702,5,1006.6,27.8,17.9,77
703,6,1007.2,26.6,17.6,79
704,7,1008.2,22.2,17.1,84
705,8,1009.2,24.7,16.6,78
706,9,1009.3,27.0,16.8,78
707,10,1009.5,26.6,17.0,76
708,11,1009.5,27.0,17.8,73
709,12,1008.4,27.8,17.9,70
710,13,1007.7,27.6,17.4,68
711,14,1006.0,26.7,17.0,68
712,15,1005.0,27.4,17.2,67
713,16,1003.8,30.9,18.8,59
714,17,1003.7,29.6,19.9,67
715,18,1003.4,30.2,18.7,71
716,19,1002.7,28.9,18.8,72
717,20,1001.5,30.3,20.3,72
718,21,1005.2,24.8,15.4,72
719,22,1010.9,16.3,12.7,77
720,23,1009.2,23.1,14.4,75
721,24,1007.0,20.2,14.9,88
722,25,1006.3,25.5,13.3,66
723,26,1005.3,27.4,17.8,69
724,27,1002.2,29.7,18.7,67
725,28,999.5,31.4,21.2,72
726,29,998.4,30.6,21.6,75
727,30,997.7,30.7,24.2,74
728,31,998.0,31.3,22.4,78
729,1,1013.1,18.6,10.7,61
730,2,1011.2,21.5,10.3,68
731,3,1011.4,23.3,10.8,74
732,4,1009.8,22.1,12.6,83
733,5,1008.2,23.5,14.4,76
734,6,1007.6,17.6,14.9,79
735,7,1008.7,16.0,10.2,78
736,8,1012.2,10.8,8.0,70
737,9,1012.0,15.4,8.0,55
738,10,1011.1,19.7,7.3,59
739,11,1012.2,14.6,9.2,82
740,12,1010.9,16.3,8.0,67
741,13,1008.7,21.5,6.7,65
742,14,1007.2,22.9,8.5,65
743,15,1005.8,23.3,9.4,71
